object,day,profile_valid,profile_mean,profile_spatial_std,profile_amplitude,axis_lat,centroid_lat,spread_lat,NS_contrast,raw_profile_daily_speed
V,25,True,1.650080706629571,1.1324779414154535,3.6969446359146096,24.0,22.327795356343923,4.2653480402903785,1.5599364597600098,0.05525439047645668
V,26,True,1.7142091560212451,1.1517057764181924,3.7523383201764946,24.0,22.328858018151475,4.305158529615021,1.5958609982039886,0.0689189972519826
V,27,True,1.749435144748345,1.1460851635710172,3.7218790691173824,24.0,22.26344648455474,4.344756090491239,1.5706797921384363,0.039183437553183285
V,28,True,1.7890020046276176,1.1369630493903717,3.6891650651269248,24.0,22.25513207981065,4.3958358973514455,1.5689637907091996,0.0426423093831489
V,29,True,1.868610084210234,1.132087476547169,3.671598082694095,24.0,22.231925886501433,4.475664286011254,1.5750688679204905,0.08222496568294754
V,30,True,1.9744029977125774,1.1440775064652666,3.711008273852431,24.0,22.161632049137644,4.595582455076313,1.6001748059394785,0.10801813954359149
V,31,True,1.9952250787202477,1.1315340227742128,3.6663697603173344,24.0,22.04436836679623,4.650958936328021,1.5475579090439442,0.03784352850838863
V,32,True,1.9995571196690398,1.119205473435782,3.619520968676945,24.0,21.9903018856966,4.681732025090935,1.5196439594106308,0.018497369178363175
V,33,True,2.007341716932691,1.1277042570609315,3.6370945056259543,24.0,22.001133453837465,4.680046196922903,1.5408757978738106,0.01631429405654997
V,34,True,2.017288996438762,1.1094913299456706,3.5781051729244817,24.0,21.9350967566338,4.730168460424111,1.5077182538772576,0.02589423464104409
V,35,True,2.023003699523585,1.0909553753606867,3.533173753354843,24.0,21.904017325409356,4.775756849376938,1.4873042970911472,0.020969214695914985
V,36,True,2.0500206979518465,1.0848009320356697,3.5298541042955196,24.0,21.906884111144375,4.819422152770455,1.497118967175349,0.03294025516377801
V,37,True,2.0809378886066883,1.0779434292293468,3.5024320308608474,24.0,21.827327486482844,4.866852634845391,1.4691498880799552,0.03843652771600377
V,38,True,2.0834402822219684,1.0690336825752298,3.4652280077064685,24.0,21.770398274237838,4.89070675970451,1.4401152950625826,0.021010818486708976
V,39,True,2.064578870228566,1.0425108111597565,3.356794610724512,24.0,21.665198558636895,4.922178151051791,1.3714064927473353,0.04530657261034181
V,40,True,2.063633731615243,1.0070641068759738,3.2297472054916154,24.0,21.49585856069756,4.984633574164464,1.2728220659555582,0.05792960755503572
V,41,True,2.029339324672827,0.952249862066436,3.0384031231083264,24.0,21.2782286916905,5.036651882119932,1.1208276699014084,0.09163856078238311
V,42,True,1.9989074694610593,0.8938828286447005,2.8368446687971853,24.0,21.10268369214547,5.096943883420977,0.9896789466053566,0.08043283590776462
V,43,True,1.9750895470430136,0.8515784065313166,2.6733755755800903,24.0,20.94308902817126,5.136424944193656,0.8768123857143006,0.06572183744223939
V,44,True,1.9611373643074155,0.813612174812913,2.477320879138979,24.0,20.688936786529858,5.1671736503058785,0.7200608031317568,0.08694214856291786
V,45,True,1.976151650872,0.7813477785175271,2.4617365162105433,24.0,20.4054389513074,5.206779771033354,0.5516743241087707,0.09315814715530359
V,46,True,1.9847179638205052,0.7578203762751868,2.395972174201007,24.0,20.186140009286827,5.229156583230548,0.41288146939849946,0.0798854960774248
V,47,True,1.9894283254397496,0.7443055573005998,2.3918881811030452,22.0,19.96277223471294,5.234529329068621,0.27119988260947814,0.0810545414241999
V,48,True,1.986954840612429,0.7270766103839907,2.3339565983491255,22.0,19.81462011017322,5.244806738008593,0.16332876417169695,0.06375553149047473
V,49,True,2.0180299531743384,0.7092452445894952,2.2579330634048826,22.0,19.789011626746433,5.2825801776832275,0.12528064808121075,0.04506317111145501
V,50,True,2.1154270773636346,0.7104709459590786,2.265474104806293,22.0,19.839104741592976,5.331027194709712,0.14697139154937755,0.09998834286412693
V,51,True,2.1679480895757135,0.7341659700460603,2.375900872525736,22.0,19.738913652253775,5.319228862628663,0.08833703101786394,0.06696647910499014
