window_id,target_pair,target_set,score_phase,year,score,score_z,Y_delta,order_label,peak_A,peak_B
W113,P-Jw,exploratory_full_pair,high,2021,2.7068635064347353,2.7068635064347353,15.0,A_earlier,108.0,123.0
W113,V-H,exploratory_full_pair,low,1992,-2.4629146019171846,-2.4629146019171846,-18.0,B_earlier,118.0,100.0
W113,V-H,exploratory_full_pair,low,2021,-1.9502959886401463,-1.9502959886401463,-11.0,B_earlier,117.0,106.0
W113,V-H,exploratory_full_pair,low,1991,-1.7655365530175753,-1.7655365530175753,-10.0,B_earlier,112.0,102.0
W113,V-H,exploratory_full_pair,low,1989,-1.7160593758317442,-1.7160593758317442,-2.0,B_earlier,117.0,115.0
W113,V-H,exploratory_full_pair,low,1990,-1.1797679766176534,-1.1797679766176534,-4.0,B_earlier,115.0,111.0
W113,V-H,exploratory_full_pair,low,2017,-1.0945623718277837,-1.0945623718277837,2.0,A_earlier,111.0,113.0
W113,V-H,exploratory_full_pair,low,2000,-0.9754589793904017,-0.9754589793904017,-2.0,B_earlier,114.0,112.0
W113,V-H,exploratory_full_pair,low,1985,-0.8262132902032787,-0.8262132902032787,1.0,A_earlier,110.0,111.0
W113,V-H,exploratory_full_pair,low,1999,-0.8064228653917291,-0.8064228653917291,1.0,A_earlier,108.0,109.0
W113,V-H,exploratory_full_pair,low,1995,-0.7476754593365771,-0.7476754593365771,-3.0,B_earlier,116.0,113.0
W113,V-H,exploratory_full_pair,low,2012,-0.6893860334951678,-0.6893860334951678,-3.0,B_earlier,118.0,115.0
W113,V-H,exploratory_full_pair,low,1997,-0.5135898364359021,-0.5135898364359021,-1.0,B_earlier,109.0,108.0
W113,V-H,exploratory_full_pair,low,2004,-0.4837394290288827,-0.48373942902888273,1.0,A_earlier,122.0,123.0
W113,V-H,exploratory_full_pair,low,2023,-0.39278273319585877,-0.3927827331958588,0.0,same_day,120.0,120.0
W113,V-H,exploratory_full_pair,low,1981,-0.38805618432336486,-0.3880561843233649,3.0,A_earlier,118.0,121.0
W113,V-H,exploratory_full_pair,mid,1994,-0.3476109168172326,-0.34761091681723266,0.0,same_day,109.0,109.0
W113,V-H,exploratory_full_pair,mid,2005,-0.24473966306280695,-0.244739663062807,3.0,A_earlier,115.0,118.0
W113,V-H,exploratory_full_pair,mid,1986,-0.16096360064941523,-0.16096360064941528,2.0,A_earlier,116.0,118.0
W113,V-H,exploratory_full_pair,mid,2014,-0.13313611694197283,-0.1331361169419729,2.0,A_earlier,112.0,114.0
W113,V-H,exploratory_full_pair,mid,2018,-0.11779401153854596,-0.11779401153854602,-1.0,B_earlier,113.0,112.0
W113,V-H,exploratory_full_pair,mid,1996,-0.10979893064548535,-0.1097989306454854,-3.0,B_earlier,115.0,112.0
W113,V-H,exploratory_full_pair,mid,1980,-0.06577112517689153,-0.06577112517689158,7.0,A_earlier,111.0,118.0
