window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope
T2,V_pos_centroid_lat,pooled_window_variable_ar1,45,32,1440,1395,0.0,-3.0592812234115424e-16,0.9642877443061153,0.95,0.95,0.95,True,0.014287744306115346,upper,moderate,0.4252977210313851,1.3620427777253332,window_variable_pooled_across_years
T2,V_NS_diff,pooled_window_variable_ar1,45,32,1440,1395,0.0,-7.894919286223335e-16,0.9849356441102294,0.95,0.95,0.95,True,0.034935644110229425,upper,severe,17.66614333119334,56.576938329600814,window_variable_pooled_across_years
T2,H_strength,pooled_window_variable_ar1,45,32,1440,1395,0.0,-3.006385264193846e-13,0.9921864978888748,0.95,0.95,0.95,True,0.04218649788887485,upper,severe,2.3942974692283516,7.667888668154566,window_variable_pooled_across_years
T2,H_centroid_lat,pooled_window_variable_ar1,45,32,1440,1395,0.0,-1.8750433304780422e-16,0.9617783401311089,0.95,0.95,0.95,True,0.0117783401311089,upper,moderate,0.5943674398973706,1.9034992166524405,window_variable_pooled_across_years
T2,H_west_extent_lon,pooled_window_variable_ar1,45,32,1440,1395,0.0,-4.736951571734001e-16,0.9081786521566623,0.9081786521566623,0.9081786521566623,0.95,False,0.0,none,none,1.652406916588024,3.9476228669877407,window_variable_pooled_across_years
T2,H_zonal_width,pooled_window_variable_ar1,45,32,1440,1395,0.0,4.9343245538895844e-17,0.8021961642140831,0.8021961642140831,0.8021961642140831,0.95,False,0.0,none,none,1.7238392944097538,2.8872101182280656,window_variable_pooled_across_years
T2,Je_strength,pooled_window_variable_ar1,45,32,1440,1395,0.0,-8.289665250534502e-16,0.9717432747208989,0.95,0.95,0.95,True,0.021743274720898986,upper,moderate,1.5811670494924277,5.063787209853185,window_variable_pooled_across_years
T2,Je_axis_lat,pooled_window_variable_ar1,45,32,1440,1395,0.0,-1.1842378929335003e-16,0.9227943047337294,0.9227943047337294,0.9227943047337294,0.95,False,0.0,none,none,0.8697243332374336,2.257306531876356,window_variable_pooled_across_years
T2,Je_meridional_width,pooled_window_variable_ar1,45,32,1440,1395,0.0,1.2335811384723962e-18,-0.04401292388382993,-0.04401292388382993,-0.04401292388382993,0.95,False,0.0,none,none,0.523689313215453,0.5241972804317694,window_variable_pooled_across_years
T2,Jw_strength,pooled_window_variable_ar1,45,32,1440,1395,0.0,-4.3422056074228343e-16,0.9756174138806263,0.95,0.95,0.95,True,0.025617413880626327,upper,moderate,1.2118904614848542,3.8811556442312947,window_variable_pooled_across_years
T2,Jw_axis_lat,pooled_window_variable_ar1,45,32,1440,1395,0.0,-1.1447632965023837e-15,0.9283377776197128,0.9283377776197128,0.9283377776197128,0.95,False,0.0,none,none,0.6869451381308102,1.847929349892199,window_variable_pooled_across_years
T2,Jw_meridional_width,pooled_window_variable_ar1,45,32,1440,1395,0.0,7.401486830834377e-18,0.011086729547505699,0.011086729547505699,0.011086729547505699,0.95,False,0.0,none,none,0.33532574842179436,0.3353463586999037,window_variable_pooled_across_years
S3,P_main_band_share,pooled_window_variable_ar1,45,40,1800,1755,0.0,1.6776703483224588e-17,0.9658901369551176,0.95,0.95,0.95,True,0.01589013695511765,upper,moderate,0.030839918529956354,0.09876678435402414,window_variable_pooled_across_years
S3,P_south_band_share_18_24,pooled_window_variable_ar1,45,40,1800,1755,0.0,1.7270135938613546e-18,0.964016294208318,0.95,0.95,0.95,True,0.01401629420831807,upper,moderate,0.022246835842421254,0.0712468950290351,window_variable_pooled_across_years
S3,P_main_minus_south,pooled_window_variable_ar1,45,40,1800,1755,0.0,4.934324553889585e-18,0.967122644313314,0.95,0.95,0.95,True,0.017122644313314006,upper,moderate,0.04650899077308804,0.14894797655664838,window_variable_pooled_across_years
S3,P_spread_lat,pooled_window_variable_ar1,45,40,1800,1755,0.0,4.085620730620576e-16,0.9610142388219455,0.95,0.95,0.95,True,0.011014238821945521,upper,moderate,0.23098826505344258,0.7397544886729576,window_variable_pooled_across_years
S3,P_north_band_share_35_45,pooled_window_variable_ar1,45,40,1800,1755,0.0,2.960594732333751e-18,0.9619365469624896,0.95,0.95,0.95,True,0.011936546962489691,upper,moderate,0.01754077853025468,0.05617544964707182,window_variable_pooled_across_years
S3,P_north_minus_main_35_45,pooled_window_variable_ar1,45,40,1800,1755,0.0,-5.921189464667502e-18,0.9638231390576162,0.95,0.95,0.95,True,0.01382313905761623,upper,moderate,0.03627750881238991,0.1161810102155155,window_variable_pooled_across_years
S3,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,40,1800,1755,0.0,3.157967714489334e-17,0.9669042027031065,0.95,0.95,0.95,True,0.016904202703106552,upper,moderate,0.5515866797546691,1.7664911338518596,window_variable_pooled_across_years
S3,V_strength,pooled_window_variable_ar1,45,40,1800,1755,0.0,1.5789838572446671e-16,0.9720722034010143,0.95,0.95,0.95,True,0.022072203401014345,upper,moderate,0.22978681499833592,0.7359067690886926,window_variable_pooled_across_years
S3,V_pos_centroid_lat,pooled_window_variable_ar1,45,40,1800,1755,0.0,-5.684341886080802e-16,0.9707436933122686,0.95,0.95,0.95,True,0.020743693312268663,upper,moderate,0.4170479936786401,1.3356225055175255,window_variable_pooled_across_years
S3,V_NS_diff,pooled_window_variable_ar1,45,40,1800,1755,0.0,-3.536923840228054e-15,0.973789422561474,0.95,0.95,0.95,True,0.023789422561474094,upper,moderate,17.471550070147906,55.95374113691848,window_variable_pooled_across_years
S3,H_strength,pooled_window_variable_ar1,45,40,1800,1755,0.0,-1.0156024169797698e-13,0.9870935947010452,0.95,0.95,0.95,True,0.03709359470104523,upper,severe,2.894717686313061,9.270515977924875,window_variable_pooled_across_years
S3,H_centroid_lat,pooled_window_variable_ar1,45,40,1800,1755,0.0,1.200027731505947e-15,0.9785868648945139,0.95,0.95,0.95,True,0.028586864894513897,upper,moderate,0.940921484050404,3.013360402330678,window_variable_pooled_across_years
S3,H_west_extent_lon,pooled_window_variable_ar1,45,40,1800,1755,0.0,-3.1579677144893343e-16,0.8992044469654075,0.8992044469654075,0.8992044469654075,0.95,False,0.0,none,none,1.9963989253251273,4.56289822660694,window_variable_pooled_across_years
S3,H_zonal_width,pooled_window_variable_ar1,45,40,1800,1755,0.0,0.0,0.7106486905155598,0.7106486905155598,0.7106486905155598,0.95,False,0.0,none,none,2.1054085100198408,2.992562526479076,window_variable_pooled_across_years
S3,Je_strength,pooled_window_variable_ar1,45,40,1800,1755,0.0,-3.789561257387201e-16,0.9712997938226812,0.95,0.95,0.95,True,0.021299793822681212,upper,moderate,1.612297561919643,5.163484639492711,window_variable_pooled_across_years
S3,Je_axis_lat,pooled_window_variable_ar1,45,40,1800,1755,0.0,-1.0579191843539269e-15,0.9509735217952026,0.95,0.95,0.95,True,0.0009735217952026032,upper,minor,0.9792175331019896,3.1360059149838673,window_variable_pooled_across_years
S3,Je_meridional_width,pooled_window_variable_ar1,45,40,1800,1755,0.0,2.4671622769447924e-18,-0.012047018080277062,-0.012047018080277062,-0.012047018080277062,0.95,False,0.0,none,none,0.4505376363072292,0.4505703332750642,window_variable_pooled_across_years
S3,Jw_strength,pooled_window_variable_ar1,45,40,1800,1755,0.0,3.473764485938268e-16,0.977996114479588,0.95,0.95,0.95,True,0.027996114479588052,upper,moderate,1.3623984962759301,4.36316711910983,window_variable_pooled_across_years
S3,Jw_axis_lat,pooled_window_variable_ar1,45,40,1800,1755,0.0,-3.157967714489334e-17,0.9303192691142974,0.9303192691142974,0.9303192691142974,0.95,False,0.0,none,none,0.91893843987581,2.5056216739387196,window_variable_pooled_across_years
S3,Jw_meridional_width,pooled_window_variable_ar1,45,40,1800,1755,0.0,1.4309541206279795e-17,-0.027961657275983456,-0.027961657275983456,-0.027961657275983456,0.95,False,0.0,none,none,0.6799210140175946,0.6801869695582441,window_variable_pooled_across_years
