window,year,variable,audit_surrogate_mode,year_n_finite,year_nan_fraction,year_mean,year_std,pooled_raw_phi_before_clip,pooled_phi_used,pooled_phi_clip_amount,pooled_phi_clip_severity,fallback_to_pooled_scale
S5,2013,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,2.9487434285124094,1.79106485954563,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2014,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-1.8772976483897748,1.820752168561282,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2015,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-3.312884551074956,1.769428845564174,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2016,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.15233708938527704,3.7638044487225817,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2017,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.9818073990419833,0.7808643777280461,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2018,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,1.3603668784964242,0.8290685052234065,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2019,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,3.227764488745081,0.9801234402184544,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2020,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.4242738805558553,3.078244258626823,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2021,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.22053528270206996,0.6188061796495462,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2022,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,3.967541053878491,1.88139330264477,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,2023,H_centroid_lat,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,0.8294420738687759,3.8342408991802603,0.9178429918892036,0.9178429918892036,0.0,none,False
S5,1979,H_west_extent_lon,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,3.1337777777777767,5.510981387362134,0.8857413825733939,0.8857413825733939,0.0,none,False
S5,1980,H_west_extent_lon,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-0.6462222222222231,9.290041757271702,0.8857413825733939,0.8857413825733939,0.0,none,False
S5,1981,H_west_extent_lon,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-4.886222222222223,9.013655089589022,0.8857413825733939,0.8857413825733939,0.0,none,False
S5,1982,H_west_extent_lon,pooled_phi_yearwise_scale_ar1,25,0.13793103448275867,-4.1062222222222236,11.271309510171127,0.8857413825733939,0.8857413825733939,0.0,none,False
