comparison,target_window,reference_window,sector,lat,V850_target,V850_reference,V850_delta
T3_full_minus_S3,T3_full,S3,full_easm_lon,40.25,1.5567138023681315,1.0766009153580594,0.48011288701007215
T3_full_minus_S3,T3_full,S3,full_easm_lon,40.5,1.5126795787384526,1.0560856201605175,0.45659395857793506
T3_full_minus_S3,T3_full,S3,full_easm_lon,40.75,1.4558321435481572,1.021078703558123,0.43475343999003413
T3_full_minus_S3,T3_full,S3,full_easm_lon,41.0,1.414873884983381,0.9824511904302794,0.43242269455310167
T3_full_minus_S3,T3_full,S3,full_easm_lon,41.25,1.431760866756144,0.9995277911121133,0.4322330756440306
T3_full_minus_S3,T3_full,S3,full_easm_lon,41.5,1.4871648056845226,1.0652207402614975,0.4219440654230251
T3_full_minus_S3,T3_full,S3,full_easm_lon,41.75,1.5410518607661035,1.1135504324581709,0.4275014283079326
T3_full_minus_S3,T3_full,S3,full_easm_lon,42.0,1.5850874293356965,1.1306306688052883,0.4544567605304082
T3_full_minus_S3,T3_full,S3,full_easm_lon,42.25,1.5656607094292958,1.0898416122504924,0.47581909717880344
T3_full_minus_S3,T3_full,S3,full_easm_lon,42.5,1.425690717692844,0.9547251588972381,0.47096555879560587
T3_full_minus_S3,T3_full,S3,full_easm_lon,42.75,1.2749435268317677,0.8264583109210554,0.44848521591071233
T3_full_minus_S3,T3_full,S3,full_easm_lon,43.0,1.203640824029165,0.7742924151525229,0.42934840887664205
T3_full_minus_S3,T3_full,S3,full_easm_lon,43.25,1.18204663302809,0.7693172417727215,0.41272939125536856
T3_full_minus_S3,T3_full,S3,full_easm_lon,43.5,1.1695246184134702,0.7689163010853081,0.40060831732816216
T3_full_minus_S3,T3_full,S3,full_easm_lon,43.75,1.151355407522622,0.7546851135754282,0.3966702939471938
T3_full_minus_S3,T3_full,S3,full_easm_lon,44.0,1.1424503395853909,0.7498938910316193,0.3925564485537716
T3_full_minus_S3,T3_full,S3,full_easm_lon,44.25,1.1114061506309258,0.7279945507444896,0.38341159988643625
T3_full_minus_S3,T3_full,S3,full_easm_lon,44.5,1.061191708365098,0.6889823733559158,0.3722093350091821
T3_full_minus_S3,T3_full,S3,full_easm_lon,44.75,1.004495340829764,0.6455986510874641,0.35889668974230005
T3_full_minus_S3,T3_full,S3,full_easm_lon,45.0,0.9218379160401493,0.5807087645686012,0.3411291514715481
T3_full_minus_S3,T3_full,S3,full_easm_lon,45.25,0.864154497409914,0.5356462844952119,0.3285082129147021
T3_full_minus_S3,T3_full,S3,full_easm_lon,45.5,0.823311417657475,0.49392140622108893,0.329390011436386
T3_full_minus_S3,T3_full,S3,full_easm_lon,45.75,0.7590982126876724,0.4280874820437014,0.331010730643971
T3_full_minus_S3,T3_full,S3,full_easm_lon,46.0,0.7045475376528367,0.3772974808622683,0.32725005679056846
T3_full_minus_S3,T3_full,S3,full_easm_lon,46.25,0.6834886633112932,0.35483484217047245,0.32865382114082076
T3_full_minus_S3,T3_full,S3,full_easm_lon,46.5,0.7020216181886713,0.3739935139956358,0.32802810419303546
T3_full_minus_S3,T3_full,S3,full_easm_lon,46.75,0.7214856017154254,0.3967815788524291,0.3247040228629963
T3_full_minus_S3,T3_full,S3,full_easm_lon,47.0,0.7072866302964257,0.3875261966062888,0.3197604336901369
T3_full_minus_S3,T3_full,S3,full_easm_lon,47.25,0.6765891352890062,0.3673944848357283,0.30919465045327793
T3_full_minus_S3,T3_full,S3,full_easm_lon,47.5,0.6335110572808543,0.33000349678126667,0.30350756049958766
T3_full_minus_S3,T3_full,S3,full_easm_lon,47.75,0.5947621402739258,0.2968037119646842,0.29795842830924163
T3_full_minus_S3,T3_full,S3,full_easm_lon,48.0,0.5798095764210863,0.28874569833479985,0.2910638780862865
T3_full_minus_S3,T3_full,S3,full_easm_lon,48.25,0.5825864945894289,0.2922426241680287,0.2903438704214002
T3_full_minus_S3,T3_full,S3,full_easm_lon,48.5,0.5953611838959173,0.30502197381111656,0.29033921008480074
T3_full_minus_S3,T3_full,S3,full_easm_lon,48.75,0.5914314453111086,0.30617209729572514,0.28525934801538344
T3_full_minus_S3,T3_full,S3,full_easm_lon,49.0,0.5584095467377345,0.276412282705494,0.28199726403224046
T3_full_minus_S3,T3_full,S3,full_easm_lon,49.25,0.527527671772878,0.2473208111464285,0.28020686062644945
T3_full_minus_S3,T3_full,S3,full_easm_lon,49.5,0.5074290628215977,0.2278258487331505,0.27960321408844724
T3_full_minus_S3,T3_full,S3,full_easm_lon,49.75,0.4920506302416281,0.20959685375066378,0.2824537764909643
T3_full_minus_S3,T3_full,S3,full_easm_lon,50.0,0.47941100161264794,0.19881271148325755,0.2805982901293904
T3_full_minus_S3,T3_full,S3,full_easm_lon,50.25,0.45258527033494206,0.16395634322920327,0.2886289271057388
