window,sector,lat,value
S3,west_sector,52.0,3.6115981284074494
S3,west_sector,52.25,3.4925765309582495
S3,west_sector,52.5,3.3611427164402143
S3,west_sector,52.75,3.3074624821063883
S3,west_sector,53.0,3.22070006294856
S3,west_sector,53.25,3.27233031457568
S3,west_sector,53.5,3.075068150639263
S3,west_sector,53.75,2.9359362543413163
S3,west_sector,54.0,2.980839412455656
S3,west_sector,54.25,2.9514422481130316
S3,west_sector,54.5,2.851486287235944
S3,west_sector,54.75,2.8635272742290883
S3,west_sector,55.0,2.9611712452981482
S3,west_sector,55.25,2.9428961801420805
S3,west_sector,55.5,3.0142736445403155
S3,west_sector,55.75,2.953401775386057
S3,west_sector,56.0,2.764837680219792
S3,west_sector,56.25,2.951692806079544
S3,west_sector,56.5,3.054454787334347
S3,west_sector,56.75,2.8932433656878493
S3,west_sector,57.0,2.725189467337126
S3,west_sector,57.25,2.6557667596518595
S3,west_sector,57.5,2.4512226846829024
S3,west_sector,57.75,2.48618016285799
S3,west_sector,58.0,2.3319868045642527
S3,west_sector,58.25,2.1986670483699458
S3,west_sector,58.5,2.1609359760241174
S3,west_sector,58.75,2.1126567446996294
S3,west_sector,59.0,2.076937393266327
S3,west_sector,59.25,2.061093281726447
S3,west_sector,59.5,2.008636648710082
S3,west_sector,59.75,1.9680562971724946
S3,west_sector,60.0,1.9462251047752883
S3,mid_sector,10.0,10.331877176110538
S3,mid_sector,10.25,10.549336279551186
S3,mid_sector,10.5,10.607412632158068
S3,mid_sector,10.75,10.78860107811822
S3,mid_sector,11.0,10.861392746037613
S3,mid_sector,11.25,11.029233860986029
S3,mid_sector,11.5,10.980036485262271
S3,mid_sector,11.75,10.85982638093925
S3,mid_sector,12.0,11.091885706743781
S3,mid_sector,12.25,11.172596736484103
S3,mid_sector,12.5,10.973816948831818
S3,mid_sector,12.75,11.124733134808954
S3,mid_sector,13.0,10.786394778630763
S3,mid_sector,13.25,10.669592934634359
S3,mid_sector,13.5,10.29215586555387
S3,mid_sector,13.75,10.068852020423794
S3,mid_sector,14.0,10.340882886976075
S3,mid_sector,14.25,10.49502621601246
S3,mid_sector,14.5,10.046638723519408
S3,mid_sector,14.75,10.247418151262073
S3,mid_sector,15.0,10.128717786793649
S3,mid_sector,15.25,9.903495886635485
S3,mid_sector,15.5,9.896208654719223
S3,mid_sector,15.75,9.747985078072254
S3,mid_sector,16.0,9.536311515035745
S3,mid_sector,16.25,9.388803127891636
S3,mid_sector,16.5,9.353025226470569
S3,mid_sector,16.75,9.250037212673234
S3,mid_sector,17.0,9.084547936211104
S3,mid_sector,17.25,9.288336945757454
S3,mid_sector,17.5,9.170091330257463
S3,mid_sector,17.75,8.774700115392235
S3,mid_sector,18.0,8.556405358858461
S3,mid_sector,18.25,8.43241598388295
S3,mid_sector,18.5,8.029310226581716
S3,mid_sector,18.75,7.448758980984159
S3,mid_sector,19.0,7.283221206212927
S3,mid_sector,19.25,7.290480794120128
S3,mid_sector,19.5,7.21738483573066
S3,mid_sector,19.75,7.180417566021581
S3,mid_sector,20.0,7.086696537404001
S3,mid_sector,20.25,7.038532894577216
S3,mid_sector,20.5,6.929915172746447
S3,mid_sector,20.75,6.73363435594535
S3,mid_sector,21.0,6.605308960384793
S3,mid_sector,21.25,6.607982055362655
S3,mid_sector,21.5,6.8033975740597565
S3,mid_sector,21.75,6.978075466579859
S3,mid_sector,22.0,7.042915915717606
S3,mid_sector,22.25,7.015309278398677
S3,mid_sector,22.5,7.0493420578379675
S3,mid_sector,22.75,7.024737950972571
S3,mid_sector,23.0,6.7653816959334
S3,mid_sector,23.25,6.676491316769448
S3,mid_sector,23.5,6.825202201720814
S3,mid_sector,23.75,7.0695933385684135
S3,mid_sector,24.0,6.133006847993828
S3,mid_sector,24.25,5.9577037543120195
S3,mid_sector,24.5,6.07502905667152
