day,lat,Je_raw_profile_value
94,29.0,3.7586372040325666
94,31.0,10.454992739084153
94,33.0,17.821492027594115
94,35.0,24.562366857497025
94,37.0,28.861618101912658
94,39.0,29.91695616044303
94,41.0,27.633249204155764
94,43.0,22.88949060249704
94,45.0,17.691535580408523
95,25.0,-5.423640473138386
95,27.0,-1.9112693752461547
95,29.0,3.384513180819427
95,31.0,9.836840298332126
95,33.0,16.977295757590824
95,35.0,23.649514714930643
95,37.0,28.037339551423443
95,39.0,29.390145831255666
95,41.0,27.458873111082124
95,43.0,23.018962814511912
95,45.0,17.84150391904111
96,25.0,-5.38030281255744
96,27.0,-2.0062823393669644
96,29.0,3.0713731552191343
96,31.0,9.269425617943686
96,33.0,16.20259051702973
96,35.0,22.835968405241946
96,37.0,27.419254691744648
96,39.0,28.968202403962504
96,41.0,27.229412312143204
96,43.0,23.032501895606284
96,45.0,17.95888207959393
97,25.0,-5.4265799484485395
97,27.0,-2.182512680395328
97,29.0,2.716083161739758
97,31.0,8.696365386777448
97,33.0,15.471899125587498
97,35.0,22.1023967727934
97,37.0,26.876946193003867
97,39.0,28.689020631485562
97,41.0,27.114947299253988
97,43.0,22.974571290619892
97,45.0,18.03163425393648
98,25.0,-5.489155639207439
98,27.0,-2.4640199306571855
98,29.0,2.264487339993231
98,31.0,8.11906020486719
98,33.0,14.795115992588661
98,35.0,21.398388543779056
98,37.0,26.314297784876363
98,39.0,28.399814844152868
98,41.0,26.953798617900066
98,43.0,22.832920124323625
98,45.0,18.087435493043905
99,25.0,-5.563236259458431
99,27.0,-2.693479756487617
99,29.0,1.8378356382280892
99,31.0,7.512862561711646
99,33.0,14.04641928476261
99,35.0,20.606699625990938
99,37.0,25.682353229335643
99,39.0,28.021928360015345
99,41.0,26.801370761956417
99,43.0,22.954749299231135
99,45.0,18.245214727725
100,25.0,-5.641971184833532
100,27.0,-2.958551374996727
100,29.0,1.3819259735322922
100,31.0,6.898096858001216
100,33.0,13.28703586550872
100,35.0,19.804682757112296
100,37.0,24.957711288694206
