window_id,mode_target,tested_y_target,corr_score_y,abs_corr_score_y,own_target_corr,max_other_target_corr,own_minus_max_other,own_abs_rank,n_targets_tested,specificity_margin,specificity_status
W081,W081_H_vs_Jw_delta_peak,W081_V_vs_H_delta_peak,-0.0463122773270081,0.0463122773270081,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_V_vs_Je_delta_peak,0.18566751527840666,0.18566751527840666,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_V_vs_Jw_delta_peak,0.5714888413486054,0.5714888413486054,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_H_vs_Je_delta_peak,0.23261230020425563,0.23261230020425563,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_H_vs_Jw_delta_peak,0.6295171312138245,0.6295171312138245,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_H_vs_Jw_delta_peak,W081_Je_vs_Jw_delta_peak,0.31255488994406566,0.31255488994406566,0.6295171312138245,0.5714888413486054,0.05802828986521902,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_P_vs_V_delta_peak,0.04239799523969102,0.04239799523969102,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_P_vs_H_delta_peak,-0.10246879780851265,0.10246879780851265,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_P_vs_Je_delta_peak,-0.23202211496384723,0.23202211496384723,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_P_vs_Jw_delta_peak,0.3406920848346379,0.3406920848346379,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_V_vs_H_delta_peak,-0.1480499765369812,0.1480499765369812,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_V_vs_Je_delta_peak,-0.24316955123868406,0.24316955123868406,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_V_vs_Jw_delta_peak,0.26890384527693606,0.26890384527693606,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_H_vs_Je_delta_peak,-0.15185034466942315,0.15185034466942315,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_H_vs_Jw_delta_peak,0.4007913484861342,0.4007913484861342,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
W081,W081_Je_vs_Jw_delta_peak,W081_Je_vs_Jw_delta_peak,0.49287575133571854,0.49287575133571854,0.49287575133571854,0.4007913484861342,0.09208440284958436,1,10,0.05,pair_specific
