window_id,bootstrap_id,object,selected_peak_day,peak_score,selected_candidate_id
W045,155,P,46.0,,
W045,155,V,45.0,,
W045,155,H,47.0,,
W045,155,Je,46.0,,
W045,155,Jw,45.0,,
W045,156,P,45.0,,
W045,156,V,45.0,,
W045,156,H,36.0,,
W045,156,Je,46.0,,
W045,156,Jw,40.0,,
W045,157,P,43.0,,
W045,157,V,45.0,,
W045,157,H,31.0,,
W045,157,Je,46.0,,
W045,157,Jw,43.0,,
W045,158,P,42.0,,
W045,158,V,45.0,,
W045,158,H,31.0,,
W045,158,Je,49.0,,
W045,158,Jw,39.0,,
W045,159,P,42.0,,
W045,159,V,45.0,,
W045,159,H,36.0,,
W045,159,Je,46.0,,
W045,159,Jw,43.0,,
W045,160,P,45.0,,
W045,160,V,43.0,,
W045,160,H,55.0,,
W045,160,Je,47.0,,
W045,160,Jw,43.0,,
W045,161,P,45.0,,
W045,161,V,45.0,,
W045,161,H,32.0,,
W045,161,Je,49.0,,
W045,161,Jw,39.0,,
W045,162,P,45.0,,
W045,162,V,45.0,,
W045,162,H,35.0,,
W045,162,Je,47.0,,
W045,162,Jw,43.0,,
W045,163,P,47.0,,
W045,163,V,47.0,,
W045,163,H,36.0,,
W045,163,Je,47.0,,
W045,163,Jw,38.0,,
W045,164,P,45.0,,
W045,164,V,44.0,,
W045,164,H,35.0,,
W045,164,Je,48.0,,
W045,164,Jw,49.0,,
W045,165,P,44.0,,
W045,165,V,43.0,,
