year,day,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5
1980,116,40.52785,-52.791004,-31.676146,165.85658,-52.95646
1980,117,-42.827854,-58.139904,-39.50293,191.67209,-91.66381
1980,118,-103.832275,-83.8356,-48.041916,237.56358,-133.26566
1980,119,-166.9997,-146.0316,-5.7450957,267.95047,-162.00429
1980,120,-230.10077,-202.72012,44.719894,241.91537,-155.6014
1980,121,-246.42348,-247.92471,100.06646,187.71947,-120.05077
1980,122,-235.74158,-284.61993,171.9262,106.756165,-113.45472
1980,123,-207.33865,-306.43845,211.09384,28.57337,-117.3288
1980,124,-166.67656,-293.19955,207.13466,-24.37712,-126.64219
1980,125,-113.34879,-264.70938,187.34518,-44.06275,-148.62128
1980,126,-54.08973,-227.89575,155.23157,-38.152943,-169.86568
1980,127,8.957525,-190.79437,99.4871,22.972984,-172.2898
1980,128,51.156174,-191.90425,49.124477,106.69011,-169.94946
1980,129,82.892624,-226.85962,9.242596,144.07365,-128.44751
1980,130,78.69827,-252.195,-16.986097,118.93564,-61.51266
1980,131,30.793362,-228.8889,-44.27181,60.373184,-17.077059
1980,132,-19.316013,-178.38977,-66.88161,4.641271,-10.879337
1980,133,-50.89719,-121.18329,-84.12841,-66.553215,-12.110415
1980,134,-75.04195,-48.118816,-88.75905,-98.243576,-14.092629
1980,135,-61.148296,35.964466,-83.53365,-72.73341,-1.5535132
1980,136,-5.3648767,84.60384,-70.80606,-0.2729241,6.778974
1980,137,29.800577,111.23428,-79.09334,58.159035,-16.980673
1980,138,28.453436,108.627975,-107.534966,110.093834,-64.44599
1980,139,5.1875606,71.96671,-133.73111,142.75247,-79.72269
1980,140,-28.805716,11.329451,-150.34383,132.66103,-83.24782
1980,141,-63.78239,-21.047575,-157.11691,80.38516,-64.76187
1980,142,-82.52436,-45.50009,-148.60838,15.683906,-8.782505
1980,143,-90.33694,-68.54867,-142.54349,-21.109335,70.18222
1980,144,-94.72406,-66.98837,-143.18555,-37.530125,107.69051
1980,145,-85.726494,-32.346165,-119.49073,-67.56042,117.83939
1980,146,-65.61971,10.66118,-56.219765,-104.18469,129.44572
1980,147,-54.900333,96.659935,8.324362,-76.819664,125.62449
1980,148,-61.85802,234.36212,63.021355,-43.543076,55.87612
1980,149,-55.740265,320.12662,69.189026,-52.401207,-46.211678
1980,150,-38.927166,344.9134,26.5029,-11.210832,-147.06453
1980,151,-55.281673,285.8954,-36.28439,41.892963,-221.95918
1980,152,-89.9548,161.2308,-82.86329,32.584225,-242.11983
1980,153,-109.03111,18.447605,-96.75148,-6.515321,-181.2422
1980,154,-139.88396,-71.276764,-79.89318,-32.57918,-82.077675
1980,155,-146.35847,-99.027534,-91.8322,-100.457016,-31.04073
1980,156,-113.37038,-113.13409,-134.67557,-134.77596,-12.510287
1980,157,-37.044918,-105.07087,-190.21147,-123.287994,6.90837
1980,158,47.527466,-133.63037,-188.51512,-72.18272,11.195765
1980,159,98.95039,-184.02538,-134.96902,-34.409252,-5.549647
1980,160,133.9191,-215.59213,12.2778635,18.408379,25.510004
1980,161,172.54193,-170.08406,164.8105,2.5354552,5.9543014
1980,162,201.13557,-160.80096,236.88527,-30.218872,-66.200424
1980,163,212.20233,-131.99623,192.28915,-104.329506,-87.42692
1980,164,220.46014,-102.09974,104.03351,-131.98148,-85.96689
1980,165,169.798,-82.735916,-18.605457,-143.58192,-80.198395
1980,166,152.51837,-50.007175,-141.99922,-166.04625,-47.293503
1980,167,179.2898,-23.51701,-143.41068,-138.48471,28.63467
1980,168,149.759,49.87237,-34.889256,-77.08744,62.51729
1980,169,121.84977,198.47426,23.162582,-96.82603,18.983284
1980,170,130.1139,248.96841,5.526501,-117.35973,-63.985336
1980,171,48.211792,193.78435,-27.445436,-101.88315,-89.1292
1980,172,0.7684774,155.39983,-122.48731,-139.47702,-118.83805
1980,173,21.796589,77.33963,-226.84248,-177.53574,-142.66553
1980,174,94.52106,-16.540167,-278.53574,-148.12544,-89.414085
