window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,H,CP001,113,103,123,within_system_window,accepted_window,system_relevant_first,CP002@128:candidate_window,,CP002@128:candidate_window,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP002,113,103,123,within_system_window,accepted_window,system_relevant_first,CP001@134:weak_window,,CP001@134:weak_window,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP001,113,103,123,within_system_window,candidate_window,system_relevant_first,,,,W113_P_earlier_minus_H_earlier,target_mode_low,15,1979;1982;1984;1988;1993;1994;1995;1998;2002;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,110,100,120,within_system_window,accepted_window,system_relevant_first,CP002@133:accepted_window;CP003@101:weak_window,,CP002@133:accepted_window,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,110,100,120,within_system_window,candidate_window,system_relevant_first,CP002@119:weak_window;CP003@128:weak_window,,CP003@128:weak_window,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,112,102,122,within_system_window,candidate_window,system_relevant_first,CP002@130:weak_window,,CP002@130:weak_window,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,113,103,123,within_system_window,candidate_window,system_relevant_first,CP002@102:weak_window;CP003@127:weak_window,,CP003@127:weak_window,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP001,103,98,113,front_or_early,candidate_window,system_relevant_first,CP002@127:candidate_window,,CP002@127:candidate_window,W113_P_earlier_minus_H_earlier,target_mode_mid,15,1983;1985;1987;1990;1996;1997;1999;2000;2005;2006;2007;2013;2014;2016;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,107,98,117,front_or_early,accepted_window,system_relevant_first,CP002@121:accepted_window,,,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,118,108,128,within_system_window,accepted_window,system_relevant_first,CP002@103:weak_window,,,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,116,106,126,within_system_window,accepted_window,system_relevant_first,CP002@128:candidate_window,,CP002@128:candidate_window,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP002,109,99,119,within_system_window,accepted_window,system_relevant_first,CP001@132:accepted_window;CP003@100:unstable_window,,CP001@132:accepted_window,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP002,108,98,118,within_system_window,candidate_window,system_relevant_first,CP001@102:candidate_window;CP003@131:candidate_window,,CP003@131:candidate_window,W113_P_earlier_minus_V_earlier,target_mode_high,15,1980;1981;1986;1989;1990;1991;1992;1996;2000;2001;2004;2010;2011;2012;2015,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,117,107,127,within_system_window,accepted_window,system_relevant_first,CP002@131:candidate_window;CP003@106:weak_window,,CP002@131:candidate_window,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,110,100,120,within_system_window,accepted_window,system_relevant_first,CP002@135:candidate_window;CP003@121:accepted_window,,CP002@135:candidate_window,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,113,103,123,within_system_window,accepted_window,system_relevant_first,CP002@129:candidate_window,,CP002@129:candidate_window,W113_P_earlier_minus_V_earlier,target_mode_low,15,1979;1982;1993;1994;1995;1998;2002;2006;2007;2008;2009;2017;2020;2021;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
