window,metric,n,mean,median,p25,p75,p90,min,max
T3,D_pos_0_CI95_low,308,-0.05632523971737948,-0.055261259209737304,-0.07577862307170105,-0.036802114495908755,-0.02451307193355177,-0.1525617143860355,0.0620122597568013
T3,D_pos_0_CI95_high,308,0.12071637649787716,0.1104803433654391,0.06822402582069716,0.16968357967962314,0.2232344254211158,-0.0456042409985241,0.4301985802421805
T3,P_D_pos_0_gt_0,308,0.49877922077922077,0.524,0.28625,0.68925,0.873,0.0,1.0
T3,D_pos_neg_robustness,308,0.001860993644049587,0.001864635731515,-0.04753967035679885,0.04807392771428597,0.08867888665963344,-0.1840829013940765,0.2452416239361293
T3,D_pos_0_robustness,308,0.006195631548924284,-0.0026451517816724,-0.027288233761892426,0.02999810474548515,0.07349643051628367,-0.1168124430049499,0.3066689691757077
T3,D_pos_neg_bootstrap_mean,308,0.0015635316841216378,-0.0013743115770572,-0.03898018322287248,0.03792252518015678,0.07946084064984109,-0.1700846849140868,0.2075813225807088
T3,D_pos_neg_CI90_low_robustness,308,-0.10652158134884576,-0.10593857374234006,-0.15584477792711895,-0.0493453049893467,-0.013365800463716222,-0.3040780544203808,0.1041368726980602
T3,D_pos_neg_CI90_high_robustness,308,0.10886755411178921,0.10057597125306485,0.055530931571064,0.15491547926159782,0.2040589215589438,-0.0523135250334428,0.3792273163168677
T3,D_pos_neg_CI95_low_robustness,308,-0.12832172313362225,-0.12596652916575657,-0.1816740231149894,-0.0697983652917338,-0.033477835308457916,-0.3337133652849017,0.0915922662333409
T3,D_pos_neg_CI95_high_robustness,308,0.13020035521512524,0.12131373789458474,0.07498441053295533,0.17758729286040914,0.22913317847099055,-0.0320474991288224,0.4126583479116487
T3,P_D_pos_neg_gt_0_robustness,308,0.5040389610389611,0.4935,0.269,0.75925,0.917,0.005,1.0
T3,D_pos_0_bootstrap_mean,308,0.01460272147894552,0.00988361752626805,-0.009865265438225326,0.032007516157250976,0.0687835588892774,-0.1109186076725903,0.2373854055598923
T3,D_pos_0_CI90_low_robustness,308,-0.04836941813692699,-0.0472888850386354,-0.06748821519814652,-0.030041966084989248,-0.015075427387526567,-0.1472994928472935,0.0701264333519906
T3,D_pos_0_CI90_high_robustness,308,0.10043662630008048,0.0893414499132735,0.053250458455863424,0.14423567530226677,0.20223384518980872,-0.0542092397475333,0.4005230094515434
T3,D_pos_0_CI95_low_robustness,308,-0.05632523971737948,-0.055261259209737304,-0.07577862307170105,-0.036802114495908755,-0.02451307193355177,-0.1525617143860355,0.0620122597568013
T3,D_pos_0_CI95_high_robustness,308,0.12071637649787716,0.1104803433654391,0.06822402582069716,0.16968357967962314,0.2232344254211158,-0.0456042409985241,0.4301985802421805
T3,P_D_pos_0_gt_0_robustness,308,0.49877922077922077,0.524,0.28625,0.68925,0.873,0.0,1.0
T3,D_pos_0_used,308,0.006195631548924284,-0.0026451517816724,-0.027288233761892426,0.02999810474548515,0.07349643051628367,-0.1168124430049499,0.3066689691757077
T3,D_pos_0_CI90_low_used,308,-0.04836941813692699,-0.0472888850386354,-0.06748821519814652,-0.030041966084989248,-0.015075427387526567,-0.1472994928472935,0.0701264333519906
T3,D_pos_0_CI90_high_used,308,0.10043662630008048,0.0893414499132735,0.053250458455863424,0.14423567530226677,0.20223384518980872,-0.0542092397475333,0.4005230094515434
T3,P_D_pos_0_gt_0_used,308,0.49877922077922077,0.524,0.28625,0.68925,0.873,0.0,1.0
T3,D_pos_neg_used,308,0.001860993644049587,0.001864635731515,-0.04753967035679885,0.04807392771428597,0.08867888665963344,-0.1840829013940765,0.2452416239361293
T3,D_pos_neg_CI90_low_used,308,-0.10652158134884576,-0.10593857374234006,-0.15584477792711895,-0.0493453049893467,-0.013365800463716222,-0.3040780544203808,0.1041368726980602
T3,D_pos_neg_CI90_high_used,308,0.10886755411178921,0.10057597125306485,0.055530931571064,0.15491547926159782,0.2040589215589438,-0.0523135250334428,0.3792273163168677
T3,P_D_pos_neg_gt_0_used,308,0.5040389610389611,0.4935,0.269,0.75925,0.917,0.005,1.0
S4,positive_peak_abs_r,308,0.12338233904555819,0.1042202965278025,0.04718891218877973,0.1728537492026871,0.2525856251796064,0.0080598862440196,0.452115359358
S4,lag0_abs_r,308,0.11037187182308107,0.08700917111332175,0.027395874882129,0.1686629504094377,0.2396151133460175,0.000642866353791,0.4174984665903461
S4,negative_peak_abs_r,308,0.12225514468650674,0.10376105555938715,0.04709589286208088,0.17283897478092158,0.25692516341362787,0.0085805883915987,0.4478262038447084
S4,D_pos_0,308,0.0029181766631841926,-0.00387272182673885,-0.020133415973884326,0.019161856352291125,0.04560833522484992,-0.0993651923954302,0.2317063219850811
S4,D_pos_neg,308,0.0010950866720601232,0.0005312961805271,-0.0270250093423215,0.03019977239658635,0.06672486885363145,-0.2732833432929771,0.2447672507210962
S4,p_pos_surrogate,308,0.27140392075457004,0.16433566433566432,0.018731268731268652,0.439060939060939,0.774825174825175,0.0009990009990009,0.985014985014985
S4,q_pos_within_window,308,0.36812730045604125,0.3254437869822485,0.07419503573349726,0.5847772916738434,0.8605986746287503,0.009925558312655,0.985014985014985
S4,p_pos_audit_surrogate,308,0.3056391660287764,0.22777222777222772,0.052447552447552406,0.46253746253746253,0.7740259740259742,0.0009990009990009,0.988011988011988
S4,positive_peak_lag,308,2.642857142857143,2.0,1.0,4.25,5.0,1.0,5.0
S4,positive_peak_signed_r,308,0.021248873269954106,0.015786574071003,-0.08415683587237162,0.1290553826645918,0.23442205465587443,-0.398865089101232,0.452115359358
S4,negative_peak_lag,308,-2.4935064935064934,-2.0,-4.0,-1.0,-1.0,-5.0,-1.0
