mode,anchor_name,anchor_type,anchor_start,anchor_end,source_metric,information_form,target_metric,target_family,n_valid_years,spearman_r,pearson_r,n_high,n_low,high_mean_target,low_mean_target,high_minus_low,permutation_null_p90_absdiff,permutation_p,bootstrap_ci_low,bootstrap_ci_high,evaluation_mode,primary_score,support_flag
anomaly,E2_shift_left,named,22,33,H_centroid_lat,abs_transition,P_total_strength_transition,P_strength,45,-0.19209486166007905,-0.0053883516107148125,13,13,0.8071155120358041,0.8234623635695585,-0.01634685153375437,0.7729184737681246,0.9722055588882224,-0.8380681490397938,1.0016398754824196,formal_perm_boot,0.19291220423676678,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,post_state,P_centroid_lat_transition,P_position,45,-0.02542819499341238,0.013375137183379373,13,13,-0.43061456910629275,-0.6148956038807699,0.18428103477447716,2.95932245035568,0.9244151169766047,-3.521598687236598,4.224119880058053,formal_perm_boot,0.03464224673213624,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,post_state,P_main_band_share_transition,P_rainband_structure,45,-0.028063241106719365,-0.031600188770174245,13,13,-0.033202231381808014,-0.018940495934719786,-0.014261735447088229,0.14928748072403936,0.8788242351529694,-0.2034636034917065,0.1897610268014385,formal_perm_boot,0.028776327879073776,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,post_state,P_main_minus_south_transition,P_rainband_structure,45,-0.11027667984189722,-0.09825849610544538,13,13,-0.09618949690871113,-0.005221865307157774,-0.09096763160155336,0.24791750153653255,0.5522895420915817,-0.39644666737741174,0.27520585519285723,formal_perm_boot,0.11482506142197489,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,post_state,P_south_band_share_18_24_transition,P_rainband_structure,45,0.17931488801054019,0.17694565582667932,13,13,0.0629872655269031,-0.013718630627561993,0.0767058961544651,0.11138680985214036,0.265746850629874,-0.07679097174862913,0.2095719867057102,formal_perm_boot,0.18315018281826345,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,post_state,P_spread_lat_transition,P_spread,45,-0.011330698287220024,-0.07936253371019228,13,13,-0.0898404685404813,0.14012643258813698,-0.22996690112861828,1.113353021684458,0.7436512697460508,-1.798946504124598,1.2628205945155762,formal_perm_boot,0.02282904334365094,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,post_state,P_total_strength_transition,P_strength,45,-0.029512516469038203,-0.027287388682008133,13,13,0.46546809247902105,0.3018830474767611,0.16358504500225995,0.7672904789294638,0.738252349530094,-0.6684216328017213,0.9794819468519214,formal_perm_boot,0.0376917687191512,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,pre_state,P_centroid_lat_transition,P_position,45,0.009486166007905137,-0.01838058039782506,13,13,-0.6919313135525904,-0.7856416279204372,0.09371031436784683,2.9608900141190033,0.9562087582483503,-3.465229334659781,3.4574827621822237,formal_perm_boot,0.014171681726297479,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,pre_state,P_main_band_share_transition,P_rainband_structure,45,0.014361001317523056,-0.013583629497278276,13,13,-0.013877320025057692,-0.040279104765436405,0.026401784740378714,0.14783563920528048,0.7684463107378524,-0.14198251040385293,0.2024212459230151,formal_perm_boot,0.01568109055454199,False
anomaly,E2_shift_left,named,22,33,H_centroid_lat,pre_state,P_main_minus_south_transition,P_rainband_structure,45,0.019367588932806323,-0.010032883944515326,13,13,-0.04388099381635281,-0.09517631031870535,0.05129531650235254,0.2541162560571575,0.7428514297140572,-0.24544830934903836,0.3081486083255227,formal_perm_boot,0.02193235475792395,False
