window_id,basis,object_A,object_B,baseline_config,metric_family,metric_name,median,q025,q975,P_positive,P_negative,decision
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.16218938517421141,-0.06272133686374715,0.387441885135058,0.918,0.082,A_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_state_compare,2d_pattern_state_compare,-0.17169950961738367,-0.5109889813288345,0.07558168179413319,0.101,0.899,B_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_state_core,2d_pattern_state_core,-0.37002308393758265,-0.8925184625484257,0.022373288011580117,0.032,0.968,B_direction_tendency
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_state_early,2d_pattern_state_early,-0.03579673624296208,-0.26205541852198627,0.16812710320928503,0.374,0.626,unresolved
W113,2d_field,H,Jw,C1_buffered_stage,2d_pattern_state_late,2d_pattern_state_late,-0.19334171830897096,-0.6966612204323286,0.1904892288481399,0.202,0.798,unresolved
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_core_growth_share,2d_dist_core_growth_share,0.14188539141969564,-0.06568982581701265,0.33841522576591604,0.906,0.094,A_direction_tendency
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.19056472611871209,-0.3625470942467171,-0.03201773507912539,0.011,0.989,B_direction_supported
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_growth_center,2d_dist_growth_center,-0.7092328917239854,-4.135768002477739,2.7346916187218673,0.338,0.662,unresolved
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_late_growth_share,2d_dist_late_growth_share,0.13346826061916545,-0.0058432526160695775,0.26705533473582627,0.967,0.033,A_direction_tendency
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_state_compare,2d_dist_state_compare,0.00026737503953222497,-0.06879152955099005,0.06554568660643027,0.504,0.496,unresolved
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_state_core,2d_dist_state_core,-0.056985154593150844,-0.19626023070472712,0.08631065080647318,0.214,0.786,unresolved
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_state_early,2d_dist_state_early,-0.07843170498206661,-0.19306089245490163,0.021242549852246932,0.065,0.935,B_direction_tendency
W113,2d_field,H,Jw,C2_immediate_pre,2d_dist_state_late,2d_dist_state_late,0.11633672840218429,0.02073552231179888,0.1897575159770738,0.988,0.012,A_direction_supported
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_core_growth_share,2d_pattern_core_growth_share,-0.10276765987451712,-0.2826690064622053,0.08919951164998734,0.152,0.848,B_direction_tendency
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.10518536344070199,-0.37174463932581164,0.14163592122347263,0.218,0.782,unresolved
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_growth_center,2d_pattern_growth_center,-5.615247688579416,-10.88465823343006,-0.9583980429711293,0.011,0.989,B_direction_supported
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.16218938517421141,-0.06272133686374715,0.387441885135058,0.918,0.082,A_direction_tendency
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_state_compare,2d_pattern_state_compare,-0.17169950961738367,-0.5109889813288345,0.07558168179413319,0.101,0.899,B_direction_tendency
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_state_core,2d_pattern_state_core,-0.37002308393758265,-0.8925184625484257,0.022373288011580117,0.032,0.968,B_direction_tendency
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_state_early,2d_pattern_state_early,-0.03579673624296208,-0.26205541852198627,0.16812710320928503,0.374,0.626,unresolved
W113,2d_field,H,Jw,C2_immediate_pre,2d_pattern_state_late,2d_pattern_state_late,-0.19334171830897096,-0.6966612204323286,0.1904892288481399,0.202,0.798,unresolved
W113,2d_field,H,P,C0_full_stage,2d_dist_core_growth_share,2d_dist_core_growth_share,0.08768365058411227,-0.07325287102934777,0.2625605717794461,0.815,0.185,A_direction_tendency
W113,2d_field,H,P,C0_full_stage,2d_dist_early_growth_share,2d_dist_early_growth_share,0.08817885676003501,-0.04530958222704857,0.21722150792956452,0.907,0.093,A_direction_tendency
W113,2d_field,H,P,C0_full_stage,2d_dist_growth_center,2d_dist_growth_center,3.774189122127815,0.4527127408386839,7.764714181243483,0.99,0.01,A_direction_supported
W113,2d_field,H,P,C0_full_stage,2d_dist_late_growth_share,2d_dist_late_growth_share,-0.09743030043875518,-0.2857544536943579,0.08679035004634449,0.157,0.843,B_direction_tendency
W113,2d_field,H,P,C0_full_stage,2d_dist_state_compare,2d_dist_state_compare,0.06136740971600016,0.013669677849304817,0.10504722177308454,0.994,0.006,A_direction_supported
W113,2d_field,H,P,C0_full_stage,2d_dist_state_core,2d_dist_state_core,0.11219683043429554,0.006170158414289138,0.2247700766422757,0.98,0.02,A_direction_supported
W113,2d_field,H,P,C0_full_stage,2d_dist_state_early,2d_dist_state_early,-0.03013056828422761,-0.0855587035731418,0.023547911433723007,0.135,0.865,B_direction_tendency
W113,2d_field,H,P,C0_full_stage,2d_dist_state_late,2d_dist_state_late,0.11989495432437508,0.053383959635493056,0.19334181633490594,1.0,0.0,A_direction_supported
W113,2d_field,H,P,C0_full_stage,2d_pattern_core_growth_share,2d_pattern_core_growth_share,0.05006949782201833,-0.09557342555648395,0.20624721362167672,0.744,0.256,unresolved
W113,2d_field,H,P,C0_full_stage,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.055969911909927644,-0.20870578465547995,0.09638464098705757,0.24,0.76,unresolved
W113,2d_field,H,P,C0_full_stage,2d_pattern_growth_center,2d_pattern_growth_center,3.172542756733357,-1.4742196345135883,8.573230276279343,0.903,0.097,A_direction_tendency
W113,2d_field,H,P,C0_full_stage,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.07683030983174124,-0.06798224317310474,0.22989396368926363,0.846,0.154,A_direction_tendency
W113,2d_field,H,P,C0_full_stage,2d_pattern_state_compare,2d_pattern_state_compare,0.14356908929385648,0.041512187918069224,0.26392800124834087,0.999,0.001,A_direction_supported
W113,2d_field,H,P,C0_full_stage,2d_pattern_state_core,2d_pattern_state_core,0.10505920246568493,-0.09417908916083133,0.3061726822523321,0.863,0.137,A_direction_tendency
W113,2d_field,H,P,C0_full_stage,2d_pattern_state_early,2d_pattern_state_early,0.017537375517169926,-0.09267683128589836,0.13726472678568682,0.617,0.383,unresolved
W113,2d_field,H,P,C0_full_stage,2d_pattern_state_late,2d_pattern_state_late,0.2911213589558478,0.11238223483750392,0.5150459805203268,0.998,0.002,A_direction_supported
W113,2d_field,H,P,C1_buffered_stage,2d_dist_core_growth_share,2d_dist_core_growth_share,0.12217629887831602,-0.02954471273685397,0.2839643241736657,0.928,0.072,A_direction_tendency
W113,2d_field,H,P,C1_buffered_stage,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.01801290710322412,-0.12875730733257054,0.09665711265248468,0.367,0.633,unresolved
