rep,point_id,null_global_peak_score,null_local_peak_score,null_local_peak_day,no_peak_in_local_window
28,RP004,43.00683064505387,41.584265952386176,136.0,False
28,RP005,43.00683064505387,0.0,,True
29,RP001,76.03183816565534,19.120830283821647,47.0,False
29,RP002,76.03183816565534,37.33280997043344,79.0,False
29,RP003,76.03183816565534,50.606613916398274,115.0,False
29,LP006,76.03183816565534,26.716683795470843,132.0,False
29,RP004,76.03183816565534,26.716683795470843,132.0,False
29,RP005,76.03183816565534,0.0,,True
30,RP001,43.952943012165434,0.0,,True
30,RP002,43.952943012165434,19.874566463393357,84.0,False
30,RP003,43.952943012165434,13.112403475505781,116.0,False
30,LP006,43.952943012165434,0.0,,True
30,RP004,43.952943012165434,0.0,,True
30,RP005,43.952943012165434,43.952943012165434,159.0,False
31,RP001,79.05266153393387,0.0,,True
31,RP002,79.05266153393387,0.0,,True
