window_id,left_out_year_index,left_out_year,object,v9_observed_peak_day,loo_peak_day,loo_peak_shift,loo_peak_score,influence_flag,method_role
W113,38,2017,Je,111.0,110.0,-1.0,18.29192448954755,low_shift,leave_one_year_out_influence_diagnostic
W113,38,2017,Jw,104.0,108.0,4.0,25.14335086932146,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,39,2018,P,113.0,113.0,0.0,30.745006522446342,low_shift,leave_one_year_out_influence_diagnostic
W113,39,2018,V,114.0,114.0,0.0,20.271982517826487,low_shift,leave_one_year_out_influence_diagnostic
W113,39,2018,H,115.0,115.0,0.0,37.55728320094809,low_shift,leave_one_year_out_influence_diagnostic
W113,39,2018,Je,111.0,112.0,1.0,16.59179563859677,low_shift,leave_one_year_out_influence_diagnostic
W113,39,2018,Jw,104.0,104.0,0.0,25.055632347731603,low_shift,leave_one_year_out_influence_diagnostic
W113,40,2019,P,113.0,112.0,-1.0,26.62573503996903,low_shift,leave_one_year_out_influence_diagnostic
W113,40,2019,V,114.0,114.0,0.0,21.570046009632293,low_shift,leave_one_year_out_influence_diagnostic
W113,40,2019,H,115.0,114.0,-1.0,34.67501448974924,low_shift,leave_one_year_out_influence_diagnostic
W113,40,2019,Je,111.0,110.0,-1.0,16.123105525544645,low_shift,leave_one_year_out_influence_diagnostic
W113,40,2019,Jw,104.0,104.0,0.0,26.043265821932216,low_shift,leave_one_year_out_influence_diagnostic
W113,41,2020,P,113.0,112.0,-1.0,25.171668277481093,low_shift,leave_one_year_out_influence_diagnostic
W113,41,2020,V,114.0,114.0,0.0,20.206482747360212,low_shift,leave_one_year_out_influence_diagnostic
W113,41,2020,H,115.0,115.0,0.0,35.04259380157118,low_shift,leave_one_year_out_influence_diagnostic
W113,41,2020,Je,111.0,111.0,0.0,16.914085318894145,low_shift,leave_one_year_out_influence_diagnostic
W113,41,2020,Jw,104.0,104.0,0.0,25.316805776686714,low_shift,leave_one_year_out_influence_diagnostic
W113,42,2021,P,113.0,112.0,-1.0,27.19879844763203,low_shift,leave_one_year_out_influence_diagnostic
W113,42,2021,V,114.0,115.0,1.0,20.400660309004483,low_shift,leave_one_year_out_influence_diagnostic
W113,42,2021,H,115.0,115.0,0.0,35.799176822509786,low_shift,leave_one_year_out_influence_diagnostic
W113,42,2021,Je,111.0,112.0,1.0,17.117188839762406,low_shift,leave_one_year_out_influence_diagnostic
W113,42,2021,Jw,104.0,103.0,-1.0,24.58582325486414,low_shift,leave_one_year_out_influence_diagnostic
W113,43,2022,P,113.0,112.0,-1.0,27.08073534116166,low_shift,leave_one_year_out_influence_diagnostic
W113,43,2022,V,114.0,115.0,1.0,19.209216390744352,low_shift,leave_one_year_out_influence_diagnostic
W113,43,2022,H,115.0,115.0,0.0,31.939699429979065,low_shift,leave_one_year_out_influence_diagnostic
W113,43,2022,Je,111.0,109.0,-2.0,17.283457205090315,low_shift,leave_one_year_out_influence_diagnostic
W113,43,2022,Jw,104.0,108.0,4.0,26.547312058646888,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,44,2023,P,113.0,112.0,-1.0,27.514355195817675,low_shift,leave_one_year_out_influence_diagnostic
W113,44,2023,V,114.0,114.0,0.0,20.622348050487844,low_shift,leave_one_year_out_influence_diagnostic
W113,44,2023,H,115.0,115.0,0.0,33.89391081699196,low_shift,leave_one_year_out_influence_diagnostic
W113,44,2023,Je,111.0,111.0,0.0,16.05869871710852,low_shift,leave_one_year_out_influence_diagnostic
W113,44,2023,Jw,104.0,108.0,4.0,25.655268653404853,shift_ge_3_days,leave_one_year_out_influence_diagnostic
