window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,field,day,relative_to_anchor,raw_progress,progress
W003,81,75,86,66,96,66,73,89,96,H,75,-6,0.24823362982487496,0.24823362982487496
W003,81,75,86,66,96,66,73,89,96,H,76,-5,0.31567572158545265,0.31567572158545265
W003,81,75,86,66,96,66,73,89,96,H,77,-4,0.3941722077652707,0.3941722077652707
W003,81,75,86,66,96,66,73,89,96,H,78,-3,0.46851431960000167,0.46851431960000167
W003,81,75,86,66,96,66,73,89,96,H,79,-2,0.5260065269911723,0.5260065269911723
W003,81,75,86,66,96,66,73,89,96,H,80,-1,0.5713843910648668,0.5713843910648668
W003,81,75,86,66,96,66,73,89,96,H,81,0,0.6121289615214959,0.6121289615214959
W003,81,75,86,66,96,66,73,89,96,H,82,1,0.6578443960908862,0.6578443960908862
W003,81,75,86,66,96,66,73,89,96,H,83,2,0.7080630543061965,0.7080630543061965
W003,81,75,86,66,96,66,73,89,96,H,84,3,0.7507265132809479,0.7507265132809479
W003,81,75,86,66,96,66,73,89,96,H,85,4,0.7849438192432276,0.7849438192432276
W003,81,75,86,66,96,66,73,89,96,H,86,5,0.8133546820945398,0.8133546820945398
W003,81,75,86,66,96,66,73,89,96,H,87,6,0.8469340055053575,0.8469340055053575
W003,81,75,86,66,96,66,73,89,96,H,88,7,0.8880004121637916,0.8880004121637916
W003,81,75,86,66,96,66,73,89,96,H,89,8,0.9291871085417853,0.9291871085417853
W003,81,75,86,66,96,66,73,89,96,H,90,9,0.9618816783726357,0.9618816783726357
W003,81,75,86,66,96,66,73,89,96,H,91,10,0.9793246702190914,0.9793246702190914
W003,81,75,86,66,96,66,73,89,96,H,92,11,0.9929347937715408,0.9929347937715408
W003,81,75,86,66,96,66,73,89,96,H,93,12,1.0114535527878874,1.0
W003,81,75,86,66,96,66,73,89,96,H,94,13,1.0281034748776523,1.0
W003,81,75,86,66,96,66,73,89,96,H,95,14,1.041528840092233,1.0
W003,81,75,86,66,96,66,73,89,96,H,96,15,1.0555858813371752,1.0
W005,113,107,117,98,128,98,105,121,128,H,98,-15,-0.05438159379088984,0.0
W005,113,107,117,98,128,98,105,121,128,H,99,-14,-0.010282469124482196,0.0
W005,113,107,117,98,128,98,105,121,128,H,100,-13,0.0010054319588056087,0.0010054319588056087
W005,113,107,117,98,128,98,105,121,128,H,101,-12,0.0018010435642586298,0.0018010435642586298
W005,113,107,117,98,128,98,105,121,128,H,102,-11,0.017612977279457303,0.017612977279457303
W005,113,107,117,98,128,98,105,121,128,H,103,-10,0.022459231896173694,0.022459231896173694
W005,113,107,117,98,128,98,105,121,128,H,104,-9,0.015317787423066971,0.015317787423066971
W005,113,107,117,98,128,98,105,121,128,H,105,-8,0.006467590793609905,0.006467590793609905
W005,113,107,117,98,128,98,105,121,128,H,106,-7,0.01033256588118927,0.01033256588118927
W005,113,107,117,98,128,98,105,121,128,H,107,-6,0.02072318021989917,0.02072318021989917
W005,113,107,117,98,128,98,105,121,128,H,108,-5,0.05733401605524137,0.05733401605524137
W005,113,107,117,98,128,98,105,121,128,H,109,-4,0.1317654047960776,0.1317654047960776
W005,113,107,117,98,128,98,105,121,128,H,110,-3,0.21795821836757434,0.21795821836757434
W005,113,107,117,98,128,98,105,121,128,H,111,-2,0.2825774529611415,0.2825774529611415
W005,113,107,117,98,128,98,105,121,128,H,112,-1,0.33861032715598144,0.33861032715598144
W005,113,107,117,98,128,98,105,121,128,H,113,0,0.40556821356863093,0.40556821356863093
W005,113,107,117,98,128,98,105,121,128,H,114,1,0.5070582858552422,0.5070582858552422
W005,113,107,117,98,128,98,105,121,128,H,115,2,0.6316836634895138,0.6316836634895138
W005,113,107,117,98,128,98,105,121,128,H,116,3,0.7411098228480715,0.7411098228480715
W005,113,107,117,98,128,98,105,121,128,H,117,4,0.815968239344487,0.815968239344487
W005,113,107,117,98,128,98,105,121,128,H,118,5,0.8651057111583957,0.8651057111583957
W005,113,107,117,98,128,98,105,121,128,H,119,6,0.898743923428007,0.898743923428007
W005,113,107,117,98,128,98,105,121,128,H,120,7,0.9296982166036132,0.9296982166036132
W005,113,107,117,98,128,98,105,121,128,H,121,8,0.9695003719480483,0.9695003719480483
W005,113,107,117,98,128,98,105,121,128,H,122,9,1.0168532708166953,1.0
W005,113,107,117,98,128,98,105,121,128,H,123,10,1.0531849783538616,1.0
W005,113,107,117,98,128,98,105,121,128,H,124,11,1.0586665162465416,1.0
W005,113,107,117,98,128,98,105,121,128,H,125,12,1.045855334742837,1.0
W005,113,107,117,98,128,98,105,121,128,H,126,13,1.015596874359861,1.0
W005,113,107,117,98,128,98,105,121,128,H,127,14,0.955293379127289,0.955293379127289
W005,113,107,117,98,128,98,105,121,128,H,128,15,0.8850492744048658,0.8850492744048658
W007,160,155,164,145,175,145,152,168,175,H,145,-15,-0.04099813281686185,0.0
W007,160,155,164,145,175,145,152,168,175,H,146,-14,-0.042641530982977766,0.0
W007,160,155,164,145,175,145,152,168,175,H,147,-13,-0.015229307583044194,0.0
W007,160,155,164,145,175,145,152,168,175,H,148,-12,-0.0047068583966326655,0.0
W007,160,155,164,145,175,145,152,168,175,H,149,-11,-0.005226633519048862,0.0
W007,160,155,164,145,175,145,152,168,175,H,150,-10,0.003870261169674874,0.003870261169674874
W007,160,155,164,145,175,145,152,168,175,H,151,-9,0.020853057590605843,0.020853057590605843
W007,160,155,164,145,175,145,152,168,175,H,152,-8,0.08407914453828473,0.08407914453828473
W007,160,155,164,145,175,145,152,168,175,H,153,-7,0.21043216786726202,0.21043216786726202
W007,160,155,164,145,175,145,152,168,175,H,154,-6,0.37721784421552107,0.37721784421552107
W007,160,155,164,145,175,145,152,168,175,H,155,-5,0.5285303037283041,0.5285303037283041
W007,160,155,164,145,175,145,152,168,175,H,156,-4,0.6545171453104258,0.6545171453104258
W007,160,155,164,145,175,145,152,168,175,H,157,-3,0.7359015323185687,0.7359015323185687
W007,160,155,164,145,175,145,152,168,175,H,158,-2,0.7959985272210114,0.7959985272210114
W007,160,155,164,145,175,145,152,168,175,H,159,-1,0.8523373020724088,0.8523373020724088
W007,160,155,164,145,175,145,152,168,175,H,160,0,0.9156943747683781,0.9156943747683781
W007,160,155,164,145,175,145,152,168,175,H,161,1,0.9373768567986417,0.9373768567986417
W007,160,155,164,145,175,145,152,168,175,H,162,2,0.8738387911648723,0.8738387911648723
W007,160,155,164,145,175,145,152,168,175,H,163,3,0.7751626268746117,0.7751626268746117
W007,160,155,164,145,175,145,152,168,175,H,164,4,0.689620319487267,0.689620319487267
W007,160,155,164,145,175,145,152,168,175,H,165,5,0.6221474183278561,0.6221474183278561
W007,160,155,164,145,175,145,152,168,175,H,166,6,0.6175537817034945,0.6175537817034945
W007,160,155,164,145,175,145,152,168,175,H,167,7,0.6711051949888156,0.6711051949888156
W007,160,155,164,145,175,145,152,168,175,H,168,8,0.7413967089896348,0.7413967089896348
W007,160,155,164,145,175,145,152,168,175,H,169,9,0.8033313432282325,0.8033313432282325
W007,160,155,164,145,175,145,152,168,175,H,170,10,0.8737744396078514,0.8737744396078514
W007,160,155,164,145,175,145,152,168,175,H,171,11,0.986962092667892,0.986962092667892
W007,160,155,164,145,175,145,152,168,175,H,172,12,1.085808353060051,1.0
W007,160,155,164,145,175,145,152,168,175,H,173,13,1.1429087056632534,1.0
W007,160,155,164,145,175,145,152,168,175,H,174,14,1.178199730500047,1.0
W007,160,155,164,145,175,145,152,168,175,H,175,15,1.1876186262830393,1.0
W002,45,40,48,30,60,30,37,53,60,Je,30,-15,0.08124180232686427,0.08124180232686427
W002,45,40,48,30,60,30,37,53,60,Je,31,-14,0.052861788887482615,0.052861788887482615
W002,45,40,48,30,60,30,37,53,60,Je,32,-13,0.04723917662155021,0.04723917662155021
W002,45,40,48,30,60,30,37,53,60,Je,33,-12,0.027615191645680198,0.027615191645680198
W002,45,40,48,30,60,30,37,53,60,Je,34,-11,-0.008759843539464797,0.0
W002,45,40,48,30,60,30,37,53,60,Je,35,-10,-0.025887287398476688,0.0
W002,45,40,48,30,60,30,37,53,60,Je,36,-9,-0.06139548213101552,0.0
W002,45,40,48,30,60,30,37,53,60,Je,37,-8,-0.11291534641262041,0.0
W002,45,40,48,30,60,30,37,53,60,Je,38,-7,-0.1299882088539558,0.0
W002,45,40,48,30,60,30,37,53,60,Je,39,-6,-0.10493174028756638,0.0
