object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
V,C1_buffered_stage,buffered_sensitivity,59,0.20698947094109715,1.826424113102409,0.10179408289851793,0.994761160371333,0.23844708563027778,-0.7563140747410553,-0.054554583273490824,0.004871332537928388,-0.0016915611045760087,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,60,0.20455852337788222,1.8140307050350177,0.10133736993073858,0.9968337569902948,0.25754854001435346,-0.7392852169759413,-0.04206519898263826,-0.00045671296777935466,0.012489384290852563,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,61,0.16702572917831654,1.7631922851974244,0.08653205385834872,0.9994393832843438,0.3041315277380792,-0.6953078555462646,-0.009811117436536796,-0.014805316072389857,0.03225408154610147,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,62,0.09596443200190288,1.683835581744556,0.05391866010827747,0.9990747265445679,0.35804587630915036,-0.6410288502354176,0.0299984438154923,-0.03261339375007125,0.03980956125202909,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,63,0.06689958339122865,1.6136550873056013,0.039808037523402444,0.9971685586487007,0.3902701530129735,-0.6068984056357272,0.055030553690557295,-0.014110622584875027,0.025032109875064996,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,64,0.1245560894084589,1.555434348982204,0.074140951378138,0.9962980216156563,0.4012728325058738,-0.5950251891097824,0.06373866353599959,0.03433291385473556,0.008708109845442298,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,65,0.1906383237250044,1.5349468190675253,0.11047749484936611,0.9983860770008804,0.3730654386236534,-0.6253206383772271,0.04151923382531802,0.03633654347122811,-0.022219429710681575,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,66,0.25237120299960203,1.5195525539809334,0.14242780029636137,0.9986330778784953,0.3628729718078037,-0.6357601060706917,0.033862670736117366,0.03195030544699526,-0.007656563089200652,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,67,0.3217008446928064,1.4878979798743561,0.17777467598087876,0.9963540433767306,0.38492186683026497,-0.6114321765464656,0.05170537428205324,0.03534687568451739,0.017842703545935874,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,68,0.4010278143238191,1.4676740329870361,0.21460235344708195,0.9942932865904687,0.39451370725259355,-0.5997795793378751,0.0602516764787132,0.03682767746620319,0.008546302196659958,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,69,0.49829877619659285,1.4188497252264671,0.2599166292161071,0.9904006557240569,0.4248595343016793,-0.5655411214223776,0.08536300598367069,0.045314275769025136,0.025111329504957494,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,70,0.571665486049557,1.3838580490323786,0.2923337284332937,0.9862523154712687,0.45368709297206844,-0.5325652224992002,0.10954834358344812,0.03241709921718661,0.024185337599777423,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,71,0.6261861067427626,1.353147765111892,0.31636204262801826,0.9821280652495995,0.4800825208585017,-0.5020455443910978,0.13193222825632944,0.024028314194724565,0.022383884672881327,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,72,0.6937125336248077,1.301309420397597,0.3477217542524432,0.9755673507743129,0.5112735259001434,-0.4642938248741695,0.15962027047213342,0.03135971162442497,0.027688042215803982,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,73,0.7773469760596925,1.2148344166920666,0.3901988939802109,0.9603491487066311,0.5661957784326257,-0.39415337027400543,0.21106300984547993,0.04247713972776768,0.05144273937334651,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,74,0.8593439275112166,1.131886516924998,0.43156427720977625,0.9408253432338789,0.6198631091194188,-0.3209622341144601,0.26474319431759197,0.041365383229565345,0.053680184472112036,1.3634665543589848,True
V,C1_buffered_stage,buffered_sensitivity,75,0.9715744377993318,1.0300835718559753,0.4853848325302285,0.9121017989644397,0.679703446381039,-0.2323983525834007,0.32969812940413434,0.05382055532045227,0.06495493508654238,1.3634665543589848,True
