mode,year,H_H_E1_strength,H_H_E2_strength,P_E2_CONTROL_strength,P_P45_strength,V_E2_CONTROL_strength,V_V45_strength,H_package_strength,M_combined_strength,joint45_strength_proxy
raw,2014,5830.228114006154,5826.278611291992,5.84301572707985,7.733368998460839,1.6682401310709454,3.1781968080893357,0.5065558075090624,0.43548228670172107,0.43548228670172107
raw,2015,5816.043620562745,5830.947392399526,4.969294012094712,8.15269229745002,2.0494556874269145,3.27885357426026,0.2609719619493953,0.6356181177992961,0.6356181177992961
raw,2016,5835.157243972325,5850.295107617192,6.178046011921481,6.34582301350543,3.160605732166068,2.4036485320370176,1.4801331590678548,-0.5939781479561237,-0.5939781479561237
raw,2017,5812.255870516096,5847.180480861694,4.381258618993552,8.314472086254858,2.0086490579978125,2.552515755904959,0.7145815677607769,0.07637877104222277,0.07637877104222277
raw,2018,5829.102221412874,5852.097153265607,4.635807171955635,2.946630761815134,2.0156937177602567,2.828083925621023,1.3686841154685272,-1.1846186401796492,-1.1846186401796492
raw,2019,5827.933373049675,5817.079486593118,6.456957394975995,6.336538399090108,2.063509601312933,2.119314735802064,0.12196343267889048,-0.8330585170594814,-0.8330585170594814
raw,2020,5809.873666999494,5855.415846750601,4.155635466582707,7.594354575343398,2.2857626205980845,3.455692912882799,0.9314797358044918,0.6277047338943657,0.6277047338943657
raw,2021,5812.124996830143,5842.795245620755,4.4902996080872075,8.133861663277637,2.162188423924978,4.476047658110474,0.5589008181101865,1.6261909259711136,1.6261909259711136
raw,2022,5821.32241196157,5837.708383773465,6.650897337183818,9.899701846722868,1.998487316239682,3.3664220218516285,0.646789010109881,1.1934569090314309,1.1934569090314309
raw,2023,5819.563625090221,5833.314966723495,4.987096010426182,5.467651554701949,2.4423508475598212,1.823087039405096,0.4440767780891562,-1.3206729940167796,-1.3206729940167796
