window_id,field,bootstrap_id,v7e_anchor_day,v7e_onset_day,v7e_midpoint_day,v7e_finish_day,v7e_duration,v7e_pre_post_separation_label,v7e_progress_quality_label,v7e_progress_monotonicity_corr,v7e_n_crossings_025,v7e_n_crossings_050,v7e_n_crossings_075,marker_extract_status,t10_day,t15_day,t20_day,t25_day,t30_day,t35_day,t40_day,t45_day,t50_day,t75_day,pre_progress_upper90,pre_progress_upper95,departure90_day,departure95_day,peak_change_day_raw,peak_change_value_raw,peak_change_day_smooth3,peak_change_value_smooth3,duration_25_75,tail_50_75,early_span_25_50,analysis_start,analysis_end,progress_at_analysis_start,progress_at_anchor,progress_at_analysis_end
W002,P,4,45,41.0,44.0,46.0,6.0,clear_separation,monotonic_clear_progress,0.9330853572544713,1,1,1,success,40.0,40.0,41.0,41.0,42.0,42.0,43.0,44.0,44.0,46.0,0.028622284940234388,0.03687829022824263,39.0,39.0,40.0,0.11994768012482476,41.0,0.1111743186353911,6.0,2.0,3.0,30,60,0.0,0.6540455887244008,0.8596713418520452
W002,V,4,45,43.0,47.0,51.0,9.0,clear_separation,monotonic_clear_progress,0.973247574308605,1,1,1,success,40.0,41.0,42.0,43.0,44.0,45.0,45.0,46.0,47.0,51.0,0.03556111278790918,0.04291477055269806,37.0,37.0,51.0,0.11191396299823653,51.0,0.0919636742173291,9.0,4.0,4.0,30,60,0.0,0.4039256174343973,1.0
W002,H,4,45,37.0,39.0,44.0,8.0,clear_separation,nonmonotonic_progress,0.9359224683523899,1,1,3,success,36.0,36.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,44.0,0.2406813979835876,0.2872410506647417,37.0,37.0,37.0,0.13302757908901183,37.0,0.12492561486898648,8.0,5.0,2.0,30,60,0.0,0.7828012375693989,1.0
W002,Je,4,45,44.0,46.0,52.0,9.0,clear_separation,monotonic_clear_progress,0.9411377190631866,1,1,1,success,43.0,43.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0,52.0,0.08864595634522475,0.08983831989028475,43.0,43.0,46.0,0.1430204421702394,45.0,0.12085746736195607,9.0,6.0,2.0,30,60,0.09103068343534476,0.3745754774079845,1.0
W002,Jw,4,45,39.0,43.0,47.0,9.0,clear_separation,monotonic_clear_progress,0.9585723666014482,1,1,1,success,37.0,38.0,38.0,39.0,40.0,40.0,41.0,42.0,43.0,47.0,0.08958485367471884,0.11110851363993582,37.0,37.0,39.0,0.0815219428569737,44.0,0.07455374513393642,9.0,4.0,4.0,30,60,0.0,0.694388476371157,0.9023325181317499
W002,P,5,45,42.0,45.0,48.0,7.0,clear_separation,monotonic_clear_progress,0.9591521871089728,1,1,1,success,40.0,41.0,41.0,42.0,43.0,43.0,44.0,45.0,45.0,48.0,0.03272262072513286,0.036294944913888585,39.0,39.0,46.0,0.12005307571018009,46.0,0.10492730223489832,7.0,3.0,3.0,30,60,0.0,0.5352605096310894,0.9128841701297754
W002,V,5,45,43.0,45.0,49.0,7.0,clear_separation,monotonic_clear_progress,0.9561817554525683,1,1,1,success,41.0,42.0,42.0,43.0,44.0,44.0,44.0,45.0,45.0,49.0,0.016605757616095333,0.017013622138775466,39.0,39.0,45.0,0.13946784040034177,45.0,0.1210200413099824,7.0,4.0,2.0,30,60,0.0,0.5446527469820868,0.9658008065452925
W002,H,5,45,36.0,39.0,51.0,16.0,clear_separation,monotonic_clear_progress,0.9527244752776942,1,1,1,success,35.0,36.0,36.0,36.0,37.0,37.0,38.0,38.0,39.0,51.0,0.2829129414454258,0.3184894354534088,37.0,37.0,35.0,0.12247362728803911,36.0,0.11418604564173471,16.0,12.0,3.0,30,60,0.0,0.6278142906847114,1.0
W002,Je,5,45,44.0,46.0,50.0,7.0,clear_separation,monotonic_clear_progress,0.9475915147501972,1,1,1,success,42.0,42.0,43.0,44.0,45.0,45.0,46.0,46.0,46.0,50.0,0.07916018072924609,0.0854088129567181,41.0,41.0,46.0,0.12426825049408086,46.0,0.10169069953510779,7.0,4.0,2.0,30,60,0.0916574451841901,0.382363168260186,1.0
W002,Jw,5,45,42.0,47.0,52.0,11.0,clear_separation,monotonic_clear_progress,0.984176895719989,1,1,1,success,38.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,52.0,0.06456603120211546,0.07300347898509399,37.0,37.0,54.0,0.09119964270995695,54.0,0.08044558038489402,11.0,5.0,5.0,30,60,0.0,0.4268536621939013,1.0
W002,P,6,45,40.0,44.0,46.0,7.0,clear_separation,monotonic_clear_progress,0.9275799755960883,1,1,1,success,36.0,37.0,39.0,40.0,41.0,41.0,42.0,43.0,44.0,46.0,0.1528926584237118,0.1640583577229836,37.0,39.0,46.0,0.15032973190006538,46.0,0.1379310566444989,7.0,2.0,4.0,30,60,0.0,0.6653118000696496,0.8712373154506923
W002,V,6,45,42.0,46.0,49.0,8.0,clear_separation,monotonic_clear_progress,0.9709220892254974,1,1,1,success,36.0,38.0,41.0,42.0,43.0,44.0,45.0,46.0,46.0,49.0,0.12259449969156186,0.13293332178490538,37.0,37.0,48.0,0.09489884274102878,48.0,0.08968363332073603,8.0,3.0,4.0,30,60,0.0,0.43203128299263516,0.9499144605933895
W002,H,6,45,37.0,39.0,54.0,18.0,clear_separation,nonmonotonic_progress,0.9066473475248269,1,3,1,success,35.0,36.0,36.0,37.0,37.0,38.0,38.0,38.0,39.0,54.0,0.25175023687265813,0.291493494820516,37.0,37.0,38.0,0.13578781182447142,38.0,0.11932475275839272,18.0,15.0,2.0,30,60,0.0,0.5170176713417858,1.0
W002,Je,6,45,41.0,43.0,45.0,5.0,clear_separation,monotonic_clear_progress,0.9136200786212332,1,1,1,success,40.0,40.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,45.0,0.1134627589787674,0.13725286430340017,40.0,40.0,40.0,0.13447180087012517,41.0,0.1273604386709779,5.0,2.0,2.0,30,60,0.16104296962803302,0.7722552168494324,1.0
W002,Jw,6,45,38.0,42.0,46.0,9.0,clear_separation,monotonic_clear_progress,0.9549921457980752,1,1,1,success,37.0,37.0,38.0,38.0,39.0,39.0,40.0,41.0,42.0,46.0,0.09922917442922678,0.1331519484054168,37.0,37.0,39.0,0.10297061222642778,38.0,0.09829579908122987,9.0,4.0,4.0,30,60,0.0,0.7269170546188312,0.9690052622930391
W002,P,7,45,40.0,45.0,48.0,9.0,clear_separation,monotonic_clear_progress,0.973607766436791,1,1,1,success,38.0,39.0,40.0,40.0,41.0,42.0,43.0,45.0,45.0,48.0,0.06349704288155918,0.07766888904027774,37.0,37.0,47.0,0.1058389360791886,47.0,0.09644747651109076,9.0,3.0,5.0,30,60,0.0,0.5193921166617529,1.0
W002,V,7,45,42.0,46.0,48.0,7.0,clear_separation,monotonic_clear_progress,0.9687423846905143,1,1,1,success,38.0,40.0,41.0,42.0,43.0,44.0,45.0,45.0,46.0,48.0,0.05076183346501507,0.06340129132699485,37.0,37.0,46.0,0.10940288112264013,46.0,0.0992810620506886,7.0,2.0,4.0,30,60,0.0,0.48187595778318765,0.9618982516967137
W002,H,7,45,36.0,38.0,42.0,7.0,clear_separation,monotonic_clear_progress,0.8752609463457919,1,1,1,success,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,42.0,0.31818235126579597,0.3666841184168825,37.0,37.0,37.0,0.138576477574533,37.0,0.13447183632544762,7.0,4.0,2.0,30,60,0.0,0.963930037224951,1.0
W002,Je,7,45,45.0,47.0,52.0,8.0,clear_separation,monotonic_clear_progress,0.9652870680385782,1,1,1,success,41.0,41.0,44.0,45.0,45.0,46.0,46.0,47.0,47.0,52.0,0.017691798998956437,0.02783538268504331,40.0,40.0,47.0,0.11282485827030275,46.0,0.10115213215838109,8.0,5.0,2.0,30,60,0.037978966371130206,0.3082275545361131,1.0
