year,mode,domain,H35_score,H35_score_share,is_top_fraction_year,H35_residual_norm,H35_residual_fraction
2000,local_background_removed,object_domain_spatial,1312.3248310559227,0.028742529284228047,False,1112.5998684927536,0.7187788934280458
2001,local_background_removed,object_domain_spatial,737.2431123323541,0.016147093497238814,False,727.2962527920164,0.9731980997147323
2002,local_background_removed,object_domain_spatial,652.4584820485453,0.014290141116916922,False,649.7507649469366,0.9917171785390647
2003,local_background_removed,object_domain_spatial,1419.3638971339947,0.031086898161886128,True,1085.6843172270117,0.5850858839441119
2004,local_background_removed,object_domain_spatial,1011.1187560648959,0.022145515933462565,False,509.3097950375636,0.25372293357009873
2005,local_background_removed,object_domain_spatial,1527.3110907065438,0.03345115684158569,True,490.9437733047054,0.10332573457775304
2006,local_background_removed,object_domain_spatial,648.5598203442028,0.014204752655497503,False,608.4124110673479,0.8800271075481763
2007,local_background_removed,object_domain_spatial,1426.7777659918415,0.031249276665830637,True,559.5395139556265,0.15379735148558227
2008,local_background_removed,object_domain_spatial,1535.8932396809682,0.033639123008483963,True,976.1278812547142,0.4039162985307999
2009,local_background_removed,object_domain_spatial,479.48263308364454,0.010501625280988185,False,478.4995344076048,0.9959035394867417
2010,local_background_removed,object_domain_spatial,1137.3924578631709,0.0249111616683257,False,805.3831888110122,0.5014001182479993
2011,local_background_removed,object_domain_spatial,620.5160190939596,0.013590537516378613,False,619.4042432933711,0.9964198190392449
2012,local_background_removed,object_domain_spatial,656.5649541556661,0.014380081040326597,False,440.001494402799,0.4491101891190731
2013,local_background_removed,object_domain_spatial,980.2233468723925,0.021468844897108538,False,705.8101063180355,0.5184724218006874
2014,local_background_removed,object_domain_spatial,965.007662811132,0.02113559109106842,False,469.39642803459196,0.2366017960003541
2015,local_background_removed,object_domain_spatial,907.2982652321143,0.019871640268347614,False,905.3988271146969,0.995817362506577
2016,local_background_removed,object_domain_spatial,389.2541218800804,0.008525441058783043,False,387.3137098665948,0.9900549513695345
2017,local_background_removed,object_domain_spatial,815.7202597228709,0.017865899431284644,False,790.4383590750061,0.9389738945481672
2018,local_background_removed,object_domain_spatial,818.6874529003002,0.017930886875533184,False,813.5210821938483,0.9874187167284149
2019,local_background_removed,object_domain_spatial,863.5666174403821,0.018913830023844322,False,679.1001577087454,0.6184092419708753
2020,local_background_removed,object_domain_spatial,833.1453775678839,0.018247544240625347,False,626.4639629691983,0.5653932361766779
2021,local_background_removed,object_domain_spatial,1055.2777438134524,0.023112685774715584,False,955.1465739591758,0.8192312057203234
2022,local_background_removed,object_domain_spatial,1900.5326675265483,0.041625453210437695,True,496.97011127860173,0.06837697168207961
2023,local_background_removed,object_domain_spatial,918.9511309903529,0.020126861252798434,False,436.0537219584115,0.2251620335642438
1979,local_background_removed,profile,120.45152922542174,0.03552639198468266,True,42.61029943124178,0.12514241623399922
