mode,feature_index,lat,H18_profile_diff,H35_profile_diff,H18_contribution_fraction,H35_contribution_fraction,same_sign
local_background_removed,59,29.75,3.9221790258446774,2.211763169638444,0.020354387734713094,0.022178450577236317,True
local_background_removed,60,30.0,4.052064086152916,2.2069840538444514,0.02102843419231739,0.02213052800356525,True
local_background_removed,61,30.25,4.182976981471037,2.1961725895298616,0.021707814662515354,0.02202211606766712,True
local_background_removed,62,30.5,4.316067148081105,2.1799175446735215,0.022398494215133555,0.021859118639223626,True
local_background_removed,63,30.75,4.448619470793778,2.157112446325155,0.02308638259397917,0.021630440563030262,True
local_background_removed,64,31.0,4.580197735911575,2.1267071356997036,0.023769216041412577,0.021325551374056954,True
local_background_removed,65,31.25,4.712698405521193,2.0893487395175274,0.02445683636332342,0.020950940134144388,True
local_background_removed,66,31.5,4.840781974825102,2.0432206823763384,0.025121533873273594,0.02048839113722939,True
local_background_removed,67,31.75,4.967788788406941,1.9902902494864934,0.02578064349360472,0.019957631331661667,True
local_background_removed,68,32.0,5.096055032959872,1.9323226829510474,0.026446289007922775,0.019376361678953232,True
local_background_removed,69,32.25,5.221508530737701,1.8692051376888517,0.02709733760096755,0.018743450625287882,True
local_background_removed,70,32.5,5.343975703854033,1.80147736554568,0.027732888479690437,0.018064310531175,True
local_background_removed,71,32.75,5.4634606667357355,1.728422610304884,0.02835296299616109,0.0173317541251449,True
local_background_removed,72,33.0,5.576338864568825,1.6477680424477825,0.028938751301679742,0.016522990613932486,True
local_background_removed,73,33.25,5.6798023256401144,1.558623129436133,0.029475681255448714,0.015629090184365205,True
local_background_removed,74,33.5,5.771835788939528,1.4620515725870316,0.029953294537305813,0.01466071909918492,True
local_background_removed,75,33.75,5.845807051248822,1.3561842113587572,0.030337172923363236,0.013599134354952323,True
local_background_removed,76,34.0,5.9034296536409565,1.2414553681197733,0.030636208939731745,0.012448691118312639,True
local_background_removed,77,34.25,5.941321383757498,1.1180201056165255,0.030832850388693933,0.011210944280632913,True
local_background_removed,78,34.5,5.957639382102276,0.9875602614067781,0.03091753363827928,0.009902758464520958,True
local_background_removed,79,34.75,5.957964368884237,0.8520607143641077,0.030919220177043856,0.00854403703874777,True
local_background_removed,80,35.0,5.9342229427838875,0.7078672835098895,0.03079601259548338,0.007098137711160542,True
raw,0,15.0,1.1455449081248088,-1.9167112850410701,0.001697938776898075,0.003720380499652584,False
raw,1,15.25,1.1594922029440573,-1.8750467207587396,0.0017186116047710539,0.0036395086262033796,False
raw,2,15.5,1.1775075516449256,-1.8239240649670676,0.0017453141451268196,0.003540278380530927,False
raw,3,15.75,1.1991468230481943,-1.7629559608274994,0.0017773881020348699,0.0034219378941405744,False
raw,4,16.0,1.224879665898243,-1.6920173139818413,0.0018155295938306344,0.003284244356018232,False
raw,5,16.25,1.254386086839036,-1.6120552062209943,0.0018592643229778842,0.0031290360736095433,False
raw,6,16.5,1.287530883128953,-1.5229896597564982,0.0019083918905432283,0.0029561578081955054,False
raw,7,16.75,1.3244991168989375,-1.4247247670039953,0.0019631865975741733,0.00276542340095846,False
raw,8,17.0,1.3657360975601895,-1.3171500332196595,0.0020243084863891224,0.002556618379070155,False
raw,9,17.25,1.4122907554673882,-1.2004380008855928,0.0020933122926521633,0.0023300776514398177,False
raw,10,17.5,1.4651546712189754,-1.0745811248334207,0.0021716677476122173,0.0020857865727228367,False
raw,11,17.75,1.524616969987928,-0.9389521671696456,0.0022598033956581546,0.001822527659803303,False
raw,12,18.0,1.5906593455865432,-0.7939233620134524,0.002357692103164974,0.0015410234276312395,False
raw,13,18.25,1.6638625991209528,-0.6394541338455344,0.0024661947396741254,0.0012411951181944356,False
raw,14,18.5,1.7448111311584844,-0.4755500499988759,0.0025861775098865052,0.0009230535378137138,False
raw,15,18.75,1.8341664778506477,-0.30203338177784367,0.0027186209496815913,0.0005862537110206122,False
raw,16,19.0,1.9323311785388626,-0.11974265919135897,0.002864121707128067,0.00023242324376596528,False
raw,17,19.25,2.039873507207477,0.07144940666928017,0.003023522083935,0.00013868493463711277,True
raw,18,19.5,2.156517124866877,0.2724594752966944,0.003196412487529714,0.000528850081256592,True
raw,19,19.75,2.2822776075942635,0.483591356171428,0.0033828160049385538,0.000938661897251874,True
raw,20,20.0,2.4177886000750815,0.7043105330251754,0.003583671831015043,0.001367082874305002,True
raw,21,20.25,2.5636124502601607,0.9340109786309946,0.003799813483838701,0.0018129366996896047,True
raw,22,20.5,2.7198158714871252,1.172906784962162,0.0040313398466240435,0.0022766389308288195,True
raw,23,20.75,2.885980118120117,1.420427363916948,0.004277630250161391,0.0027570820431499178,True
raw,24,21.0,3.062934381496467,1.676682443018406,0.004539913730619587,0.0032544790202880614,True
raw,25,21.25,3.2507077811336154,1.9408542271475824,0.0048182334492553195,0.0037672425031887013,True
raw,26,21.5,3.44996250830989,2.2120910015559594,0.005113570912983963,0.004293719294019497,True
