window_id,target_name,object,abs_loading_fraction,positive_loading_fraction,negative_loading_fraction,early_half_abs_loading_fraction,late_half_abs_loading_fraction,dominant_day_start,dominant_day_end,dominant_profile_coord_min,dominant_profile_coord_max,dominant_object_rank
W113,W113_V_vs_Je_delta_peak,P,0.21015259500894118,0.5281151424005157,0.4718848575994841,0.5286989762439458,0.47130102375605404,89.0,154.0,0.0,12.0,3
W113,W113_V_vs_Je_delta_peak,V,0.22308170003665462,0.6347189297124144,0.3652810702875855,0.589290916714801,0.4107090832851989,88.0,153.0,0.0,10.0,1
W113,W113_Jw_vs_V_delta_peak,H,0.16257759828868007,0.3690852620359479,0.6309147379640522,0.49102732579261954,0.5089726742073807,100.0,154.0,0.0,10.0,5
W113,W113_Jw_vs_V_delta_peak,Je,0.17291579765735862,0.47829828318037576,0.5217017168196243,0.5533722424447172,0.44662775755528294,88.0,152.0,0.0,10.0,4
W113,W113_Jw_vs_V_delta_peak,Jw,0.19247053616842047,0.48519945588049934,0.5148005441195006,0.6293679553375351,0.37063204466246497,88.0,148.0,0.0,10.0,3
W113,W113_Jw_vs_V_delta_peak,P,0.23842524243502802,0.4104967831988939,0.5895032168011063,0.5345742434811013,0.4654257565188988,88.0,154.0,0.0,12.0,1
W113,W113_Jw_vs_V_delta_peak,V,0.23361082545051273,0.23930767335113967,0.7606923266488603,0.5587286019510295,0.4412713980489703,88.0,152.0,0.0,10.0,2
W113,W113_H_vs_Je_delta_peak,H,0.15649955131817997,0.36766530607661535,0.6323346939233847,0.5376392925084776,0.46236070749152236,98.0,143.0,0.0,10.0,5
W113,W113_H_vs_Je_delta_peak,Je,0.2665588202386642,0.44452334016476297,0.5554766598352371,0.6305710703545729,0.3694289296454271,93.0,138.0,0.0,10.0,1
W113,W113_H_vs_Je_delta_peak,Jw,0.2062057476021359,0.44518240651117597,0.554817593488824,0.5547921935100334,0.4452078064899666,88.0,136.0,0.0,10.0,2
W113,W113_H_vs_Je_delta_peak,P,0.18196800827267492,0.5616660738584587,0.43833392614154126,0.548868918644278,0.4511310813557218,88.0,154.0,0.0,12.0,4
W113,W113_H_vs_Je_delta_peak,V,0.18876787256834504,0.6983851710512425,0.3016148289487574,0.5711741614865815,0.4288258385134185,88.0,151.0,0.0,8.0,3
W113,W113_Jw_vs_H_delta_peak,H,0.17102237059799047,0.28048694639080046,0.7195130536091993,0.587479017590446,0.41252098240955387,94.0,154.0,0.0,10.0,5
W113,W113_Jw_vs_H_delta_peak,Je,0.18455754825226034,0.40788211242452765,0.5921178875754723,0.6124463903310535,0.3875536096689464,90.0,153.0,0.0,10.0,4
W113,W113_Jw_vs_H_delta_peak,Jw,0.20786549975307198,0.34560465944746044,0.6543953405525397,0.6439317985988804,0.35606820140111967,88.0,154.0,0.0,10.0,3
W113,W113_Jw_vs_H_delta_peak,P,0.21986087131250004,0.36273274820481355,0.6372672517951865,0.5980740084452856,0.4019259915547145,88.0,150.0,0.0,12.0,1
W113,W113_Jw_vs_H_delta_peak,V,0.21669371008417726,0.16341910255733136,0.8365808974426686,0.6099591912892259,0.3900408087107741,88.0,135.0,0.0,10.0,2
W113,W113_Je_vs_Jw_delta_peak,H,0.1703540715953165,0.7937991182368872,0.20620088176311277,0.5867299912288961,0.4132700087711039,93.0,153.0,0.0,10.0,5
W113,W113_Je_vs_Jw_delta_peak,Je,0.2638607020068192,0.6031031272763927,0.3968968727236073,0.5653440206673801,0.43465597933261985,89.0,149.0,0.0,9.0,1
W113,W113_Je_vs_Jw_delta_peak,Jw,0.18485180364919868,0.7042903109978368,0.2957096890021632,0.5229676545963985,0.47703234540360145,88.0,154.0,0.0,10.0,3
W113,W113_Je_vs_Jw_delta_peak,P,0.21038699181118706,0.5826153581505485,0.4173846418494514,0.5449172216781984,0.45508277832180144,88.0,154.0,0.0,12.0,2
W113,W113_Je_vs_Jw_delta_peak,V,0.17054643093747865,0.6968277978343853,0.30317220216561475,0.6357008489064622,0.3642991510935379,91.0,154.0,0.0,10.0,4
W160,W160_P_vs_V_delta_peak,H,0.2645417138699712,0.02920192315082159,0.9707980768491782,0.5208194523762906,0.4791805476237092,134.0,178.0,0.0,10.0,1
W160,W160_P_vs_V_delta_peak,Je,0.16395823348550906,0.53677171928177,0.46322828071822997,0.4875465298312184,0.5124534701687816,134.0,178.0,0.0,8.0,5
W160,W160_P_vs_V_delta_peak,Jw,0.18463348113789038,0.5269142392998639,0.4730857607001363,0.36733426976155437,0.6326657302384459,139.0,178.0,0.0,10.0,3
W160,W160_P_vs_V_delta_peak,P,0.1797658314063831,0.5135079099971879,0.486492090002812,0.34777913332255167,0.6522208666774483,119.0,172.0,0.0,12.0,4
W160,W160_P_vs_V_delta_peak,V,0.20710074010024623,0.3999524642837753,0.6000475357162246,0.2939626176124717,0.7060373823875282,144.0,173.0,0.0,10.0,2
W160,W160_P_vs_H_delta_peak,H,0.21529647193373805,0.5646333387794956,0.4353666612205043,0.4937105890670562,0.5062894109329438,119.0,178.0,0.0,10.0,3
W160,W160_P_vs_H_delta_peak,Je,0.1580241764018357,0.27132972901567565,0.7286702709843245,0.4633350424800045,0.5366649575199954,119.0,178.0,0.0,10.0,5
W160,W160_P_vs_H_delta_peak,Jw,0.16703256402966465,0.20989383711796405,0.7901061628820362,0.48385630929490814,0.5161436907050918,120.0,178.0,0.0,9.0,4
