window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window,pcmci_plus_supported,support_rule
T1,P_south_band_share_18_24,H_strength,P,H,False,2,,False,0.12944903776036082,0.08328489081166325,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_strength,P,H,False,3,,False,0.00785250516006071,0.9169114845098322,lagged_direct_edge_control,source(t-tau)->target(t),0.9786518566581657,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_strength,P,H,False,4,,False,-0.02379284131396601,0.7518953671253111,lagged_direct_edge_control,source(t-tau)->target(t),0.9356040306844954,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_strength,P,H,False,5,,False,0.1418796745297632,0.05744931997905639,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_centroid_lat,P,H,False,1,,False,-0.08967714718385691,0.2325562788742374,lagged_direct_edge_control,source(t-tau)->target(t),0.6927208306892177,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_centroid_lat,P,H,False,2,,False,0.006433246013570006,0.9318886556553703,lagged_direct_edge_control,source(t-tau)->target(t),0.9816565358757194,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_centroid_lat,P,H,False,3,,False,0.06629526664322434,0.37792456862060353,lagged_direct_edge_control,source(t-tau)->target(t),0.7571818197507408,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_centroid_lat,P,H,False,4,,False,0.1025499098538698,0.17193383028909043,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_centroid_lat,P,H,False,5,,False,0.09579407650400323,0.20209903159784226,lagged_direct_edge_control,source(t-tau)->target(t),0.665402735464208,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_west_extent_lon,P,H,False,1,,False,0.09698948776613774,0.19650012087781665,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_west_extent_lon,P,H,False,2,,False,0.11029889617596246,0.14160271564273919,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_west_extent_lon,P,H,False,3,,False,0.10615581741429536,0.15726870356671493,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_west_extent_lon,P,H,False,4,,False,0.0686999872395527,0.3608303334169023,lagged_direct_edge_control,source(t-tau)->target(t),0.7495709871596263,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_west_extent_lon,P,H,False,5,,False,0.10156962080298979,0.17487108390352857,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_zonal_width,P,H,False,1,,False,0.07019108275884048,0.3504763220147238,lagged_direct_edge_control,source(t-tau)->target(t),0.7434346224554746,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_zonal_width,P,H,False,2,,False,0.11857190274109994,0.11289273584876049,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_zonal_width,P,H,False,3,,False,0.05360512383681505,0.47479945210251745,lagged_direct_edge_control,source(t-tau)->target(t),0.8017446888573211,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_zonal_width,P,H,False,4,,False,-0.008372853616855906,0.911177860319864,lagged_direct_edge_control,source(t-tau)->target(t),0.9786518566581657,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,H_zonal_width,P,H,False,5,,False,-0.04628161605669256,0.5372757010632032,lagged_direct_edge_control,source(t-tau)->target(t),0.8340771972150534,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_strength,P,Je,False,1,,False,-0.11914083228200162,0.11217520928334308,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,Je_strength,P,Je,False,2,,False,0.07126002173543285,0.3418064169340929,lagged_direct_edge_control,source(t-tau)->target(t),0.7379025165095194,False,graph_selected_and_window_BH_q_le_alpha
