window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window_tau0,tau0_supported,support_rule
T1,P_north_band_share_35_45,H_centroid_lat,P,H,False,0,,False,0.07903126781722354,0.2971201165009697,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,H_west_extent_lon,P,H,False,0,,False,-0.11190344354083628,0.14153744875515012,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,H_zonal_width,P,H,False,0,,False,0.06813521548738369,0.3702920441082795,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Je_strength,P,Je,False,0,,False,-0.08618420018165743,0.256773283128315,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7604439538800098,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Je_axis_lat,P,Je,False,0,,False,0.12312164019722346,0.10453469864621252,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Je_meridional_width,P,Je,False,0,,False,-0.13936471507345569,0.0643093944761818,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Jw_strength,P,Jw,False,0,,False,0.14524757886905557,0.0558388871143275,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Jw_axis_lat,P,Jw,False,0,,False,0.1350633345614511,0.07307028451324477,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_band_share_35_45,Jw_meridional_width,P,Jw,False,0,,False,-0.014040664801383381,0.8524328093426942,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9512655988317023,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,V_strength,P,V,False,0,,False,-0.049279125725242436,0.5208944687663499,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,V_pos_centroid_lat,P,V,False,0,,False,-0.031413097315198625,0.6816000257870333,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8796814668949166,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,V_NS_diff,P,V,False,0,,False,-0.08748231820932639,0.2510281704755844,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7580066324164705,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,H_strength,P,H,False,0,,False,-0.06700547961315911,0.3810761328614908,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,H_centroid_lat,P,H,False,0,,False,-0.10107255385302462,0.18322422028036622,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,H_west_extent_lon,P,H,False,0,,False,-0.039337413918462086,0.6073562294560461,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8698428613552204,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,H_zonal_width,P,H,False,0,,False,0.07154029265436107,0.3482022322144679,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,Je_strength,P,Je,False,0,,False,-0.05181284654220651,0.49714518728920715,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,Je_axis_lat,P,Je,False,0,,False,-0.04097047821433542,0.5925111232280956,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8698428613552204,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,Je_meridional_width,P,Je,False,0,,False,-0.14515825831488025,0.05457891743270737,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,Jw_strength,P,Jw,False,0,,False,0.04761124182294753,0.5327178108893682,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8371063780827173,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,Jw_axis_lat,P,Jw,False,0,,False,0.13769361724234075,0.06839641668736024,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_north_minus_main_35_45,Jw_meridional_width,P,Jw,False,0,,False,0.07653666766142359,0.31128679521426883,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,V_strength,P,V,False,0,,False,-0.13554506638140845,0.07624766948996596,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_total_centroid_lat_10_50,V_pos_centroid_lat,P,V,False,0,,False,0.09848220167251376,0.20002029717659853,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7000710401180948,False,tau0_graph_selected_and_window_BH_q_le_alpha
