year,mode,cluster_id,object,window_day_min,window_day_max,strength_raw,note,strength_z
2010,raw,E2,P,27,38,6.218585298797514,,0.12060504654693897
2011,raw,E2,P,27,38,6.036247218987278,,0.0014535586450942068
2012,raw,E2,P,27,38,5.688769875902831,,-0.22561059868167013
2013,raw,E2,P,27,38,5.070757951939855,,-0.629459538836717
2014,raw,E2,P,27,38,5.843015727079882,,-0.12481638888435723
2015,raw,E2,P,27,38,4.9692940120947195,,-0.6957626358832205
2016,raw,E2,P,27,38,6.178046011921489,,0.0941140559936484
2017,raw,E2,P,27,38,4.38125861899356,,-1.0800229730539748
2018,raw,E2,P,27,38,4.635807171955644,,-0.9136844942224612
2019,raw,E2,P,27,38,6.456957394975988,,0.276372782850326
2020,raw,E2,P,27,38,4.155635466582701,,-1.2274597253924702
2021,raw,E2,P,27,38,4.490299608087211,,-1.0087685422388712
2022,raw,E2,P,27,38,6.650897337183821,,0.4031056776011668
2023,raw,E2,P,27,38,4.9870960104261846,,-0.6841296594307553
1979,raw,M,P,40,48,8.82635954744579,,1.824693310292677
1980,raw,M,P,40,48,9.790277913213494,,2.454579879333363
1981,raw,M,P,40,48,8.339622795321828,,1.5066280532029968
1982,raw,M,P,40,48,5.52703166595516,,-0.33130080001483136
1983,raw,M,P,40,48,8.718150226432128,,1.7539823451610677
1984,raw,M,P,40,48,7.40700890220014,,0.8971978501481607
1985,raw,M,P,40,48,4.547588785863342,,-0.9713320902382615
1986,raw,M,P,40,48,8.191787226333211,,1.4100227361559943
1987,raw,M,P,40,48,7.268028029829213,,0.8063787642494473
1988,raw,M,P,40,48,6.538231382826813,,0.32948246016085
1989,raw,M,P,40,48,7.816690198343056,,1.164910091342029
1990,raw,M,P,40,48,6.526403641541538,,0.3217534494455611
1991,raw,M,P,40,48,6.838676045934754,,0.5258124241416927
1992,raw,M,P,40,48,6.456807683799645,,0.2762749518901921
1993,raw,M,P,40,48,4.652341856893981,,-0.902879662261735
1994,raw,M,P,40,48,5.8248378222540795,,-0.13669500693927264
1995,raw,M,P,40,48,8.959357374127487,,1.9116026873867438
1996,raw,M,P,40,48,9.250720459925072,,2.1019981617088668
1997,raw,M,P,40,48,5.647658398949296,,-0.25247549521866397
1998,raw,M,P,40,48,7.879816422173428,,1.2061608465481908
1999,raw,M,P,40,48,6.545192705745231,,0.33403143854407097
2000,raw,M,P,40,48,8.210982272896047,,1.422566020371158
2001,raw,M,P,40,48,8.665001994596146,,1.7192518549135012
2002,raw,M,P,40,48,6.95094331522663,,0.5991751149889677
2003,raw,M,P,40,48,7.34968427179855,,0.8597382311103753
2004,raw,M,P,40,48,8.38805637594735,,1.5382776855888969
2005,raw,M,P,40,48,6.497084787326221,,0.3025946148951043
2006,raw,M,P,40,48,9.035530959459983,,1.961379431995609
