year,candidate_id,start_day,end_day,center_day,width_days,nearest_window_id,overlap_ratio_with_main_window,overlap_days_with_main_window
2008,Y2008_C01,46,51,48,6,W001,0.2222222222222222,2
2008,Y2008_C02,65,70,68,6,W002,0.0,0
2008,Y2008_C03,96,99,97,4,W002,0.0,0
2008,Y2008_C04,116,122,119,7,W003,0.07142857142857142,1
2008,Y2008_C05,132,137,134,6,W004,0.16666666666666666,1
2008,Y2008_C06,159,159,159,1,W005,0.125,1
2009,Y2009_C01,14,14,14,1,W001,0.0,0
2009,Y2009_C02,36,41,40,6,W001,0.0,0
2009,Y2009_C03,75,75,75,1,W002,0.0,0
2009,Y2009_C04,94,99,96,6,W002,0.0,0
2009,Y2009_C05,112,118,113,7,W003,0.5,5
2009,Y2009_C06,131,136,134,6,W004,0.16666666666666666,1
2010,Y2010_C01,52,57,54,6,W001,0.0,0
2010,Y2010_C02,69,74,71,6,W002,0.0,0
2010,Y2010_C03,85,90,87,6,W002,0.06666666666666667,1
2010,Y2010_C04,120,124,122,5,W003,0.0,0
2010,Y2010_C05,141,146,143,6,W004,0.0,0
2010,Y2010_C06,162,166,164,5,W005,0.18181818181818182,2
2011,Y2011_C01,25,32,28,8,W001,0.0,0
2011,Y2011_C02,59,63,61,5,W001,0.0,0
2011,Y2011_C03,76,81,78,6,W002,0.6,6
2011,Y2011_C04,97,101,99,5,W003,0.0,0
2011,Y2011_C05,109,112,110,4,W003,0.5,4
2011,Y2011_C06,128,132,130,5,W004,0.0,0
2011,Y2011_C07,141,146,143,6,W004,0.0,0
2011,Y2011_C08,157,159,158,3,W005,0.375,3
2012,Y2012_C01,41,41,41,1,W001,0.0,0
2012,Y2012_C02,80,87,82,8,W002,0.5,6
2012,Y2012_C03,106,116,111,11,W003,0.7272727272727273,8
2012,Y2012_C04,150,153,152,4,W005,0.0,0
2012,Y2012_C05,162,165,163,4,W005,0.2,2
2013,Y2013_C01,39,43,41,5,W001,0.1111111111111111,1
2013,Y2013_C02,52,55,54,4,W001,0.0,0
2013,Y2013_C03,78,82,80,5,W002,0.5,5
2013,Y2013_C04,88,97,93,10,W002,0.0,0
2013,Y2013_C05,131,136,133,6,W004,0.16666666666666666,1
2013,Y2013_C06,146,152,149,7,W005,0.0,0
2013,Y2013_C07,163,166,165,4,W005,0.09090909090909091,1
2014,Y2014_C01,33,37,35,5,W001,0.0,0
2014,Y2014_C02,73,78,75,6,W002,0.23076923076923078,3
2014,Y2014_C03,89,93,91,5,W002,0.0,0
2014,Y2014_C04,107,111,108,5,W003,0.3,3
2014,Y2014_C05,128,134,131,7,W004,0.0,0
2014,Y2014_C06,162,162,162,1,W005,0.125,1
2015,Y2015_C01,33,38,35,6,W001,0.0,0
2015,Y2015_C02,57,57,57,1,W001,0.0,0
2015,Y2015_C03,90,97,93,8,W002,0.0,0
2015,Y2015_C04,106,114,111,9,W003,0.5454545454545454,6
2015,Y2015_C05,128,131,130,4,W004,0.0,0
2015,Y2015_C06,148,148,148,1,W005,0.0,0
2015,Y2015_C07,159,159,159,1,W005,0.125,1
2016,Y2016_C01,32,32,32,1,W001,0.0,0
2016,Y2016_C02,48,52,50,5,W001,0.0,0
2016,Y2016_C03,75,80,77,6,W002,0.45454545454545453,5
2016,Y2016_C04,92,94,93,3,W002,0.0,0
2016,Y2016_C05,113,118,115,6,W003,0.4,4
2016,Y2016_C06,128,132,130,5,W004,0.0,0
2016,Y2016_C07,142,164,150,23,W005,0.34782608695652173,8
2017,Y2017_C01,41,45,43,5,W001,0.42857142857142855,3
2017,Y2017_C02,58,63,60,6,W001,0.0,0
2017,Y2017_C03,107,113,111,7,W003,0.5,5
2017,Y2017_C04,122,126,124,5,W003,0.0,0
2017,Y2017_C05,137,142,139,6,W004,0.0,0
2017,Y2017_C06,151,155,153,5,W005,0.0,0
2018,Y2018_C01,41,41,41,1,W001,0.0,0
2018,Y2018_C02,53,56,54,4,W001,0.0,0
2018,Y2018_C03,75,82,79,8,W002,0.6363636363636364,7
2018,Y2018_C04,98,103,101,6,W003,0.0,0
2018,Y2018_C05,124,130,127,7,W004,0.0,0
2018,Y2018_C06,152,162,155,11,W005,0.5833333333333334,7
2019,Y2019_C01,25,30,28,6,W001,0.0,0
2019,Y2019_C02,42,42,42,1,W001,0.0,0
2019,Y2019_C03,60,60,60,1,W001,0.0,0
2019,Y2019_C04,94,95,94,2,W002,0.0,0
2019,Y2019_C05,133,141,137,9,W004,0.1111111111111111,1
2019,Y2019_C06,160,160,160,1,W005,0.125,1
2020,Y2020_C01,29,33,31,5,W001,0.0,0
2020,Y2020_C02,43,47,45,5,W001,1.0,5
2020,Y2020_C03,61,71,67,11,W002,0.0,0
2020,Y2020_C04,115,120,118,6,W003,0.16666666666666666,2
2020,Y2020_C05,142,149,146,8,W004,0.0,0
2020,Y2020_C06,159,165,162,7,W005,0.5,5
2021,Y2021_C01,26,34,29,9,W001,0.0,0
2021,Y2021_C02,44,47,46,4,W001,0.8,4
2021,Y2021_C03,64,71,67,8,W002,0.0,0
2021,Y2021_C04,88,92,89,5,W002,0.0,0
2021,Y2021_C05,103,109,107,7,W003,0.07142857142857142,1
2021,Y2021_C06,121,131,128,11,W004,0.0,0
2021,Y2021_C07,156,156,156,1,W005,0.125,1
2022,Y2022_C01,16,19,17,4,W001,0.0,0
2022,Y2022_C02,50,50,50,1,W001,0.0,0
2022,Y2022_C03,77,85,79,9,W002,0.9,9
2022,Y2022_C04,95,99,97,5,W002,0.0,0
2022,Y2022_C05,116,125,121,10,W003,0.058823529411764705,1
2022,Y2022_C06,146,153,150,8,W005,0.0,0
2023,Y2023_C01,37,37,37,1,W001,0.0,0
2023,Y2023_C02,51,55,53,5,W001,0.0,0
2023,Y2023_C03,63,68,65,6,W002,0.0,0
2023,Y2023_C04,98,104,101,7,W003,0.0,0
2023,Y2023_C05,120,126,124,7,W003,0.0,0
2023,Y2023_C06,142,145,143,4,W004,0.0,0
2023,Y2023_C07,164,166,165,3,W005,0.0,0
