window_id,target_name,object,block_energy,block_contribution_fraction,dominant_object_warning
W113,W113_H_earlier_minus_Je_earlier,Je,0.25041174576581116,0.2504117457658111,False
W113,W113_H_earlier_minus_Je_earlier,Jw,0.12360538560533688,0.12360538560533685,False
W113,W113_Je_late_minus_early_peak_influence,P,0.0989401506804065,0.09894015068040651,False
W113,W113_Je_late_minus_early_peak_influence,V,0.12976241742263522,0.12976241742263525,False
W113,W113_Je_late_minus_early_peak_influence,H,0.21732694987660323,0.21732694987660325,False
W113,W113_Je_late_minus_early_peak_influence,Je,0.3517790375041018,0.35177903750410183,False
W113,W113_Je_late_minus_early_peak_influence,Jw,0.20219144451625318,0.2021914445162532,False
W113,W113_V_late_minus_early_peak_influence,P,0.19544576429720284,0.19544576429720278,False
W113,W113_V_late_minus_early_peak_influence,V,0.4214387069348504,0.4214387069348503,False
W113,W113_V_late_minus_early_peak_influence,H,0.14295837867475553,0.1429583786747555,False
W113,W113_V_late_minus_early_peak_influence,Je,0.09642521862148491,0.09642521862148488,False
W113,W113_V_late_minus_early_peak_influence,Jw,0.14373193147170643,0.1437319314717064,False
W113,W113_H_late_minus_early_peak_influence,P,0.16609123153684668,0.1660912315368467,False
W113,W113_H_late_minus_early_peak_influence,V,0.3707802255500522,0.37078022555005224,False
W113,W113_H_late_minus_early_peak_influence,H,0.22321369003207586,0.2232136900320759,False
W113,W113_H_late_minus_early_peak_influence,Je,0.13788827713851598,0.137888277138516,False
W113,W113_H_late_minus_early_peak_influence,Jw,0.10202657574250938,0.1020265757425094,False
W160,W160_V_earlier_minus_Je_earlier,P,0.1534862966375721,0.15348629663757213,False
W160,W160_V_earlier_minus_Je_earlier,V,0.3436400387470846,0.34364003874708465,False
W160,W160_V_earlier_minus_Je_earlier,H,0.22274087188596292,0.22274087188596298,False
W160,W160_V_earlier_minus_Je_earlier,Je,0.184896806132473,0.18489680613247303,False
W160,W160_V_earlier_minus_Je_earlier,Jw,0.0952359865969071,0.09523598659690713,False
W160,W160_P_earlier_minus_Jw_earlier,P,0.19721721437915812,0.19721721437915812,False
W160,W160_P_earlier_minus_Jw_earlier,V,0.10787616059733204,0.10787616059733204,False
W160,W160_P_earlier_minus_Jw_earlier,H,0.20298531900418726,0.20298531900418726,False
W160,W160_P_earlier_minus_Jw_earlier,Je,0.10029223412958836,0.10029223412958836,False
W160,W160_P_earlier_minus_Jw_earlier,Jw,0.3916290718897343,0.3916290718897343,False
W160,W160_H_earlier_minus_Jw_earlier,P,0.1611599580989083,0.1611599580989083,False
W160,W160_H_earlier_minus_Jw_earlier,V,0.08349149872603681,0.08349149872603681,False
W160,W160_H_earlier_minus_Jw_earlier,H,0.2156585632897568,0.2156585632897568,False
W160,W160_H_earlier_minus_Jw_earlier,Je,0.1050177237403707,0.1050177237403707,False
W160,W160_H_earlier_minus_Jw_earlier,Jw,0.4346722561449275,0.4346722561449275,False
W160,W160_P_earlier_minus_V_earlier,P,0.19145665920083388,0.19145665920083382,False
W160,W160_P_earlier_minus_V_earlier,V,0.3038313593324513,0.30383135933245126,False
W160,W160_P_earlier_minus_V_earlier,H,0.2462161854404823,0.24621618544048224,False
W160,W160_P_earlier_minus_V_earlier,Je,0.11054321841443071,0.11054321841443068,False
W160,W160_P_earlier_minus_V_earlier,Jw,0.14795257761180197,0.14795257761180194,False
W160,W160_V_earlier_minus_Jw_earlier,P,0.19864067724513845,0.19864067724513845,False
W160,W160_V_earlier_minus_Jw_earlier,V,0.12219566504009877,0.12219566504009877,False
W160,W160_V_earlier_minus_Jw_earlier,H,0.22238462690863553,0.22238462690863553,False
W160,W160_V_earlier_minus_Jw_earlier,Je,0.11058178957102183,0.11058178957102183,False
