pair,field_early_candidate,field_late_candidate,bootstrap_id,delta_late_minus_early,H_midpoint,P_midpoint,V_midpoint,Je_midpoint,Jw_midpoint,H_onset,H_finish,H_duration,five_field_midpoint_range,tail_type,tail_interpretation
P-Je,P,Je,352,0.0,38.0,46.0,47.0,46.0,42.0,36.0,40.0,5.0,9.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,376,0.0,39.0,44.0,45.0,44.0,43.0,36.0,53.0,18.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,393,0.0,38.0,46.0,47.0,46.0,43.0,37.0,40.0,4.0,9.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,421,-2.0,39.0,47.0,47.0,45.0,43.0,37.0,45.0,9.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,425,0.0,52.0,44.0,46.0,44.0,44.0,38.0,54.0,17.0,8.0,late_field_early_tail,"Je shifts to the early side of its own bootstrap distribution, weakening P's lead."
P-Je,P,Je,432,0.0,47.0,45.0,46.0,45.0,48.0,39.0,51.0,13.0,3.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,435,0.0,39.0,47.0,46.0,47.0,44.0,37.0,41.0,5.0,8.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,437,0.0,39.0,46.0,45.0,46.0,43.0,37.0,53.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,457,0.0,39.0,45.0,45.0,45.0,43.0,37.0,54.0,18.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,480,0.0,37.0,45.0,45.0,45.0,43.0,36.0,40.0,5.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,494,-2.0,40.0,46.0,49.0,44.0,41.0,37.0,44.0,8.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,499,0.0,39.0,45.0,45.0,45.0,44.0,37.0,51.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,501,0.0,38.0,45.0,45.0,45.0,43.0,37.0,44.0,8.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,512,0.0,40.0,43.0,44.0,43.0,43.0,37.0,53.0,17.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,514,0.0,37.0,46.0,49.0,46.0,43.0,36.0,38.0,3.0,12.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,527,0.0,38.0,45.0,45.0,45.0,44.0,37.0,42.0,6.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,529,0.0,39.0,46.0,46.0,46.0,49.0,37.0,51.0,15.0,10.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,541,0.0,38.0,46.0,46.0,46.0,43.0,36.0,41.0,6.0,8.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,557,0.0,38.0,45.0,45.0,45.0,44.0,36.0,54.0,19.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,564,-1.0,51.0,45.0,45.0,44.0,44.0,38.0,54.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,572,0.0,39.0,44.0,44.0,44.0,44.0,36.0,54.0,19.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,573,-3.0,49.0,46.0,47.0,43.0,40.0,37.0,52.0,16.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,589,0.0,38.0,45.0,43.0,45.0,44.0,36.0,40.0,5.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,596,0.0,38.0,45.0,45.0,45.0,47.0,36.0,50.0,15.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,598,-1.0,42.0,44.0,44.0,43.0,44.0,38.0,54.0,17.0,2.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,601,-1.0,38.0,47.0,50.0,46.0,46.0,37.0,39.0,3.0,12.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,610,0.0,38.0,45.0,46.0,45.0,43.0,36.0,39.0,4.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,614,-1.0,39.0,47.0,49.0,46.0,47.0,37.0,41.0,5.0,10.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,620,-1.0,42.0,44.0,47.0,43.0,42.0,37.0,51.0,15.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,622,0.0,39.0,47.0,49.0,47.0,43.0,37.0,42.0,6.0,10.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,625,-2.0,51.0,45.0,47.0,43.0,45.0,38.0,54.0,17.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,631,0.0,38.0,46.0,48.0,46.0,46.0,37.0,41.0,5.0,10.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,640,-1.0,39.0,44.0,45.0,43.0,45.0,37.0,44.0,8.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,664,0.0,38.0,45.0,46.0,45.0,42.0,36.0,54.0,19.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,669,0.0,40.0,45.0,45.0,45.0,46.0,37.0,52.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,672,0.0,39.0,46.0,47.0,46.0,45.0,37.0,42.0,6.0,8.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,679,-1.0,37.0,46.0,47.0,45.0,42.0,36.0,39.0,4.0,10.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,703,0.0,38.0,46.0,47.0,46.0,45.0,36.0,39.0,4.0,9.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,706,-1.0,37.0,45.0,46.0,44.0,41.0,36.0,43.0,8.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,718,-1.0,37.0,45.0,48.0,44.0,45.0,36.0,39.0,4.0,11.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,728,0.0,38.0,45.0,47.0,45.0,43.0,36.0,40.0,5.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,736,-2.0,49.0,45.0,46.0,43.0,42.0,37.0,52.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,737,0.0,38.0,45.0,46.0,45.0,43.0,36.0,42.0,7.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,739,0.0,38.0,44.0,46.0,44.0,46.0,37.0,54.0,18.0,8.0,late_field_early_tail,"Je shifts to the early side of its own bootstrap distribution, weakening P's lead."
P-Je,P,Je,750,0.0,41.0,45.0,45.0,45.0,42.0,37.0,52.0,16.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,755,0.0,39.0,44.0,44.0,44.0,44.0,37.0,52.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,759,0.0,38.0,45.0,46.0,45.0,48.0,36.0,41.0,6.0,10.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,760,0.0,39.0,45.0,46.0,45.0,41.0,36.0,54.0,19.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,763,0.0,39.0,45.0,47.0,45.0,46.0,37.0,54.0,18.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,770,-4.0,38.0,48.0,48.0,44.0,44.0,36.0,40.0,5.0,10.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,772,-2.0,38.0,46.0,45.0,44.0,46.0,36.0,51.0,16.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,773,0.0,40.0,47.0,45.0,47.0,43.0,37.0,51.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,779,0.0,38.0,46.0,47.0,46.0,44.0,36.0,51.0,16.0,9.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,791,-3.0,39.0,48.0,48.0,45.0,45.0,37.0,53.0,17.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,800,0.0,39.0,45.0,48.0,45.0,42.0,37.0,54.0,18.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,815,0.0,38.0,45.0,45.0,45.0,44.0,36.0,54.0,19.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,822,-1.0,38.0,45.0,45.0,44.0,45.0,36.0,40.0,5.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,828,0.0,39.0,45.0,47.0,45.0,46.0,36.0,53.0,18.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,839,-1.0,37.0,45.0,46.0,44.0,43.0,36.0,39.0,4.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,840,-2.0,38.0,46.0,48.0,44.0,47.0,36.0,40.0,5.0,10.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,843,0.0,38.0,46.0,47.0,46.0,43.0,36.0,39.0,4.0,9.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,859,0.0,41.0,45.0,46.0,45.0,42.0,37.0,50.0,14.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,863,0.0,38.0,45.0,45.0,45.0,43.0,36.0,40.0,5.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,864,0.0,37.0,45.0,49.0,45.0,42.0,36.0,39.0,4.0,12.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,867,-1.0,43.0,45.0,44.0,44.0,44.0,38.0,52.0,15.0,2.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,872,-1.0,40.0,45.0,45.0,44.0,45.0,37.0,53.0,17.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,901,-1.0,37.0,48.0,49.0,47.0,42.0,36.0,38.0,3.0,12.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,905,0.0,40.0,45.0,47.0,45.0,41.0,36.0,53.0,18.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
P-Je,P,Je,950,0.0,38.0,46.0,46.0,46.0,42.0,36.0,39.0,4.0,8.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,953,0.0,39.0,45.0,45.0,45.0,48.0,37.0,43.0,7.0,9.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,958,0.0,39.0,45.0,47.0,45.0,44.0,37.0,44.0,8.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,960,-2.0,38.0,46.0,46.0,44.0,46.0,36.0,40.0,5.0,8.0,mixed_tail,Both P late-side and Je early-side effects occur in this tail sample.
P-Je,P,Je,962,0.0,39.0,46.0,45.0,46.0,49.0,37.0,43.0,7.0,10.0,early_field_late_tail,"P shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
P-Je,P,Je,979,0.0,40.0,44.0,45.0,44.0,45.0,37.0,52.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,2,-1.0,42.0,43.0,45.0,44.0,48.0,38.0,54.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,4,-1.0,39.0,44.0,47.0,46.0,43.0,37.0,44.0,8.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,6,-3.0,39.0,44.0,46.0,43.0,42.0,37.0,54.0,18.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,8,-1.0,40.0,45.0,45.0,44.0,44.0,37.0,51.0,15.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,9,-4.0,39.0,46.0,47.0,43.0,44.0,37.0,42.0,6.0,8.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,10,-1.0,40.0,45.0,45.0,44.0,43.0,37.0,53.0,17.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,14,0.0,38.0,44.0,45.0,45.0,44.0,36.0,43.0,8.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,16,-2.0,39.0,46.0,48.0,46.0,44.0,37.0,42.0,6.0,9.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,19,-2.0,39.0,46.0,46.0,44.0,49.0,36.0,51.0,16.0,10.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,20,-2.0,43.0,45.0,47.0,45.0,40.0,38.0,53.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,23,0.0,41.0,45.0,46.0,46.0,42.0,38.0,53.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,26,-1.0,37.0,46.0,48.0,47.0,41.0,36.0,39.0,4.0,11.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,27,-2.0,38.0,44.0,47.0,45.0,41.0,36.0,40.0,5.0,9.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,30,0.0,50.0,42.0,45.0,45.0,46.0,38.0,53.0,16.0,8.0,late_field_early_tail,"Je shifts to the early side of its own bootstrap distribution, weakening V's lead."
V-Je,V,Je,32,-2.0,38.0,44.0,46.0,44.0,42.0,36.0,54.0,19.0,8.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,33,0.0,39.0,45.0,45.0,45.0,45.0,37.0,42.0,6.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,35,-2.0,49.0,44.0,47.0,45.0,50.0,39.0,52.0,14.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,37,-2.0,39.0,45.0,47.0,45.0,42.0,36.0,51.0,16.0,8.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,38,0.0,38.0,45.0,47.0,47.0,45.0,36.0,39.0,4.0,9.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,43,0.0,38.0,44.0,46.0,46.0,43.0,36.0,40.0,5.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,45,0.0,41.0,45.0,47.0,47.0,45.0,37.0,51.0,15.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,46,0.0,37.0,44.0,46.0,46.0,39.0,36.0,38.0,3.0,9.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,47,-1.0,39.0,44.0,46.0,45.0,40.0,37.0,53.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,54,0.0,38.0,43.0,44.0,44.0,45.0,37.0,50.0,14.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,55,-1.0,40.0,46.0,46.0,45.0,46.0,37.0,52.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,58,0.0,40.0,45.0,46.0,46.0,44.0,38.0,42.0,5.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,59,-1.0,52.0,40.0,46.0,45.0,42.0,50.0,54.0,5.0,12.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,64,-1.0,39.0,45.0,46.0,45.0,45.0,37.0,42.0,6.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,67,0.0,39.0,45.0,46.0,46.0,45.0,37.0,51.0,15.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,70,-1.0,40.0,43.0,45.0,44.0,44.0,37.0,47.0,11.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,71,0.0,37.0,42.0,46.0,46.0,42.0,36.0,39.0,4.0,9.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,75,-1.0,38.0,43.0,46.0,45.0,43.0,36.0,42.0,7.0,8.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,77,-1.0,40.0,45.0,46.0,45.0,43.0,37.0,44.0,8.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,78,0.0,38.0,42.0,45.0,45.0,43.0,37.0,53.0,17.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,80,0.0,38.0,45.0,46.0,46.0,42.0,36.0,39.0,4.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,86,-1.0,38.0,45.0,47.0,46.0,42.0,36.0,41.0,6.0,9.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,88,-1.0,38.0,44.0,46.0,45.0,44.0,36.0,40.0,5.0,8.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,89,-2.0,37.0,46.0,47.0,45.0,41.0,36.0,38.0,3.0,10.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,94,-2.0,39.0,42.0,48.0,46.0,43.0,37.0,50.0,14.0,9.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,95,-2.0,38.0,46.0,48.0,46.0,43.0,36.0,41.0,6.0,10.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,97,0.0,41.0,45.0,48.0,48.0,45.0,37.0,49.0,13.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,98,-1.0,52.0,41.0,43.0,42.0,43.0,42.0,54.0,13.0,11.0,late_field_early_tail,"Je shifts to the early side of its own bootstrap distribution, weakening V's lead."
V-Je,V,Je,100,0.0,41.0,44.0,45.0,45.0,44.0,37.0,53.0,17.0,4.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,102,-1.0,41.0,42.0,46.0,45.0,46.0,37.0,50.0,14.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,108,0.0,39.0,47.0,47.0,47.0,45.0,37.0,41.0,5.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,111,0.0,39.0,43.0,45.0,45.0,47.0,37.0,53.0,17.0,8.0,late_field_early_tail,"Je shifts to the early side of its own bootstrap distribution, weakening V's lead."
V-Je,V,Je,114,0.0,39.0,44.0,46.0,46.0,45.0,37.0,44.0,8.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,115,0.0,39.0,44.0,44.0,44.0,45.0,36.0,54.0,19.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,116,-2.0,38.0,44.0,47.0,45.0,45.0,37.0,42.0,6.0,9.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,117,0.0,41.0,44.0,45.0,45.0,46.0,37.0,53.0,17.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,120,-2.0,37.0,45.0,48.0,46.0,42.0,36.0,38.0,3.0,11.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,123,0.0,40.0,44.0,46.0,46.0,44.0,36.0,52.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,124,-2.0,38.0,44.0,47.0,45.0,45.0,36.0,40.0,5.0,9.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,127,0.0,40.0,45.0,46.0,46.0,44.0,38.0,51.0,14.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,129,0.0,40.0,45.0,46.0,46.0,44.0,37.0,52.0,16.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,132,0.0,42.0,44.0,47.0,47.0,45.0,39.0,51.0,13.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,133,0.0,39.0,47.0,47.0,47.0,43.0,36.0,51.0,16.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,135,0.0,38.0,42.0,45.0,45.0,45.0,36.0,51.0,16.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,137,0.0,38.0,45.0,46.0,46.0,43.0,37.0,40.0,4.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,138,0.0,38.0,41.0,44.0,44.0,45.0,36.0,54.0,19.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,143,-2.0,38.0,45.0,50.0,48.0,39.0,37.0,43.0,7.0,12.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,144,0.0,39.0,41.0,44.0,44.0,43.0,37.0,54.0,18.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,145,-3.0,37.0,46.0,48.0,45.0,43.0,36.0,38.0,3.0,11.0,mixed_tail,Both V late-side and Je early-side effects occur in this tail sample.
V-Je,V,Je,154,-1.0,40.0,46.0,47.0,46.0,43.0,37.0,43.0,7.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,164,0.0,38.0,42.0,45.0,45.0,41.0,36.0,40.0,5.0,7.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,170,0.0,37.0,45.0,47.0,47.0,41.0,36.0,39.0,4.0,10.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,174,0.0,40.0,45.0,46.0,46.0,44.0,37.0,53.0,17.0,6.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,175,0.0,38.0,44.0,46.0,46.0,41.0,36.0,51.0,16.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,182,-1.0,39.0,44.0,47.0,46.0,45.0,37.0,44.0,8.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,183,-1.0,40.0,44.0,48.0,47.0,42.0,37.0,53.0,17.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
V-Je,V,Je,185,-1.0,41.0,44.0,46.0,45.0,46.0,37.0,52.0,16.0,5.0,all_fields_clustered,All five W45 midpoints are in a relatively clustered bootstrap state; ordering is hard to resolve in this sample.
V-Je,V,Je,187,0.0,38.0,45.0,46.0,46.0,46.0,36.0,41.0,6.0,8.0,early_field_late_tail,"V shifts to the late side of its own bootstrap distribution, weakening its lead over Je."
