baseline_config,field,day,R_diff,S_pattern,dR_diff,dS_pattern,dRdiff_smooth3,dSpattern_smooth3
C1_buffered_stage,Jw,39,-0.06664771604205,0.4593600125653182,0.137056668089465,0.05594819672542284,0.12222307852451937,0.049892945283136
C1_buffered_stage,Jw,40,-0.0001948723261534,0.4864868705650608,0.0664528437158966,0.02712685799974257,0.08546723493215314,0.034888763459802706
C1_buffered_stage,Jw,41,0.0526973206649444,0.5080781062193035,0.0528921929910978,0.021591235654242702,0.06265619523819153,0.02557701997369873
C1_buffered_stage,Jw,42,0.1213208696725246,0.5360910724864144,0.0686235490075802,0.028012966267110917,0.06949050242553646,0.028366867183102256
C1_buffered_stage,Jw,43,0.208276634950456,0.5715874721143676,0.0869557652779314,0.035496399627953146,0.08571354522748348,0.034989310314258816
C1_buffered_stage,Jw,44,0.3098379563473948,0.61304603716208,0.1015613213969388,0.04145856504771239,0.1044422691857642,0.04263460292964653
C1_buffered_stage,Jw,45,0.4346476772298172,0.663994881275354,0.12480972088242237,0.05094884411327405,0.1094001982549625,0.04465848979907731
C1_buffered_stage,Jw,46,0.5364772297153435,0.7055629415115995,0.10182955248552633,0.041568060236245485,0.1073073884577686,0.04380417941874718
C1_buffered_stage,Jw,47,0.6317601217207006,0.7444585754183215,0.09528289200535711,0.038895633906722016,0.1035145642998479,0.04225590252649284
C1_buffered_stage,Jw,48,0.7451913701293609,0.7907625888548325,0.11343124840866026,0.04630401343651103,0.1092543044640043,0.04459893418145341
C1_buffered_stage,Jw,49,0.8642401431073564,0.8393597440559597,0.11904877297799554,0.04859715520112717,0.10777289142652365,0.043994203385003004
C1_buffered_stage,Jw,50,0.9550787960002716,0.8764411855733305,0.09083865289291515,0.037081441517370806,0.09197859847819763,0.03754678115206881
C1_buffered_stage,Jw,51,1.0211271655639538,0.903402932311039,0.06604836956368221,0.02696174673770846,0.07037072907101038,0.028726186391794695
C1_buffered_stage,Jw,52,1.0753523303203876,0.9255383032313438,0.0542251647564338,0.02213537092030482,0.052619390955589575,0.021479874549653832
C1_buffered_stage,Jw,53,1.1129369688670403,0.940880809222292,0.03758463854665273,0.015342505990948219,0.03334004907078114,0.013609813008366093
C1_buffered_stage,Jw,54,1.1211473127762972,0.9442323713361372,0.0082103439092569,0.003351562113845241,0.01610716118346815,0.006575138846893129
C1_buffered_stage,Jw,55,1.123673813870792,0.9452637197720232,0.002526501094494815,0.001031348435885926,0.006826321984420458,0.0027865875525744746
C1_buffered_stage,Jw,56,1.1334159348203017,0.9492405718800154,0.009742120949509658,0.003976852107992257,0.007420614785240994,0.003029185092674506
C1_buffered_stage,Jw,57,1.1434091571320202,0.9533199266141608,0.009993222311718508,0.004079354734145335,0.013205833539476316,0.005390781660528273
C1_buffered_stage,Jw,58,1.163291314489221,0.961436064753608,0.01988215735720078,0.008116138139447227,0.020831776537619955,0.008503784223807523
C1_buffered_stage,Jw,59,1.1959112644331615,0.974751924551438,0.032619949943940574,0.01331585979783001,0.02857364639690922,0.011664109539956224
C1_buffered_stage,Jw,60,1.2291300963227478,0.9883122552340294,0.0332188318895863,0.013560330682591437,0.031187077455193668,0.012730943842989081
C1_buffered_stage,Jw,61,1.256852546854802,0.9996288962825752,0.027722450532054133,0.011316641048545795,0.02801243066300933,0.011435014460356477
C1_buffered_stage,Jw,62,1.2799485564221895,1.0090569679325074,0.023096009567387554,0.009428071649932201,0.02592852757348359,0.010584339906285156
C1_buffered_stage,Jw,63,1.3069156790431986,1.020065274952885,0.026967122621009088,0.011008307020377472,0.025916445749687062,0.01057940795905495
C1_buffered_stage,Jw,64,1.3346018841038632,1.03136712015974,0.027686205060664548,0.011301845206855177,0.022582463372022483,0.00921843585499856
C1_buffered_stage,Jw,65,1.347695946538257,1.036712275497503,0.013094062434393816,0.00534515533776303,0.016509648050377763,0.006739438874926525
C1_buffered_stage,Jw,66,1.356444623194332,1.0402835915776645,0.008748676656074927,0.0035713160801613686,0.01078663617101346,0.00440323590901448
C1_buffered_stage,Jw,67,1.3669617926169035,1.0445768278867835,0.010517169422571637,0.004293236309119042,0.009587655592505406,0.003913797472990958
C1_buffered_stage,Jw,68,1.3764589133157732,1.048453667916476,0.009497120698869654,0.0038768400296924632,0.010627604767250665,0.0043383173582626595
C1_buffered_stage,Jw,69,1.388327437496084,1.0532985436524525,0.011868524180310702,0.004844875735976473,0.011349780365884262,0.004633118209807459
C1_buffered_stage,Jw,70,1.4010111337145563,1.058476182516206,0.012683696218472429,0.005177638863753442,0.012276110199391566,0.005011257299864957
C2_immediate_pre,H,0,,,0.0,0.0,0.0,0.0
C2_immediate_pre,H,1,,,0.0,0.0,0.0,0.0
C2_immediate_pre,H,2,,,0.0,0.0,0.0,0.0
C2_immediate_pre,H,3,,,0.0,0.0,0.0,0.0
C2_immediate_pre,H,4,-0.0105821138238714,-0.2222887884402156,0.0,0.0,3.2501553895667354e-06,0.00022035684585603824
C2_immediate_pre,H,5,-0.0105723633577027,-0.2216277179026475,9.750466168700206e-06,0.0006610705375681147,7.042449983246657e-05,0.004774701143181699
C2_immediate_pre,H,6,-0.010370840324374,-0.2079646850106705,0.0002015230333286995,0.013663032891976984,0.0001941386391959334,0.013162379352496903
C2_immediate_pre,H,7,-0.0099996979062836,-0.1828016503827249,0.0003711424180904005,0.025163034627945613,0.000289372444425367,0.019619123238223263
C2_immediate_pre,H,8,-0.0097042460244266,-0.1627703481879777,0.000295451881857001,0.02003130219474719,0.0003213825495822671,0.02178937203018887
C2_immediate_pre,H,9,-0.0094066926756272,-0.1425965689201039,0.00029755334879939983,0.02017377926787381,0.0002806220045852668,0.019025853350510425
C2_immediate_pre,H,10,-0.0091578318925278,-0.1257240903311936,0.0002488607830993996,0.016872478588910278,0.0003097734341679,0.021002287183689766
C2_immediate_pre,H,11,-0.0087749257219229,-0.0997634866369084,0.00038290617060490056,0.02596060369428521,0.00030681540239330005,0.020801735987311398
C2_immediate_pre,H,12,-0.0084862464684473,-0.0801913609581697,0.0002886792534755999,0.0195721256787387,0.0003026978487828333,0.020522570526742404
C2_immediate_pre,H,13,-0.0082497383461793,-0.0641563787509664,0.0002365081222679994,0.0160349822072033,0.00024156008043480005,0.016377499235965667
C2_immediate_pre,H,14,-0.0080502454806185,-0.0506309889290114,0.00019949286556080088,0.013525389821955003,0.00011129433484939957,0.007545629562145534
C2_immediate_pre,H,15,-0.0081523634638991,-0.0575544722717331,-0.00010211798328060157,-0.006923483342721699,1.946698820533624e-06,0.00013198397015279825
C2_immediate_pre,H,16,-0.0082438982497177,-0.063760426840508,-9.153478581859845e-05,-0.006205954568774909,-3.8014708955667886e-06,-0.00025773541131456773
C2_immediate_pre,H,17,-0.0080616498933052,-0.0514041951629551,0.00018224835641249965,0.012356231677552905,0.0001126813494586338,0.007639667578121632
C2_immediate_pre,H,18,-0.0078143194155232,-0.0346354695373682,0.0002473304777820002,0.0167687256255869,0.00016045480293733292,0.010878653491846801
C2_immediate_pre,H,19,-0.0077625338409057,-0.0311244663649676,5.178557461749892e-05,0.0035110031724005994,3.3734889616200116e-05,0.002287187220340966
C2_immediate_pre,H,20,-0.0079604452244566,-0.0445426335019322,-0.00019791138355089877,-0.013418167136964601,-1.9142425682667125e-05,-0.0012978347309222326
C2_immediate_pre,H,21,-0.0078717466925712,-0.0385289737301349,8.869853188539847e-05,0.006013659771797304,3.079540427570014e-05,0.0020878934511403004
C2_immediate_pre,H,22,-0.0076701476280786,-0.0248607860115467,0.00020159906449260072,0.013668187718588198,0.00013480672867076642,0.009139743172109667
C2_immediate_pre,H,23,-0.0075560250384443,-0.0171234039856032,0.00011412258963430007,0.007737382025943502,0.0001798306126222669,0.012192311393187
C2_immediate_pre,H,24,-0.0073322548547044,-0.0019520395505739,0.0002237701837398999,0.015171364435029299,0.00016667902678739986,0.011300648803180734
C2_immediate_pre,H,25,-0.0071701105477164,0.0090411603979955,0.0001621443069879996,0.0109931999485694,0.00011015482773773343,0.007468372273535799
C2_immediate_pre,H,26,-0.0072255605552311,0.0052817128350042,-5.545000751469922e-05,-0.0037594475629913002,-4.7843618470666425e-06,-0.00032437430205323306
C2_immediate_pre,H,27,-0.0073466079402456,-0.0029251624567336,-0.00012104738501450031,-0.0082068752917378,-6.640918191566647e-05,-0.004502467146587367
