mode,year,object,window,strength
anomaly,1980,V,E2,1.1842221169498535
anomaly,1981,V,E2,1.0443112345317276
anomaly,1982,V,E2,1.9549548896874758
anomaly,1983,V,E2,1.1824156955916691
anomaly,1984,V,E2,1.3682222631547147
anomaly,1985,V,E2,2.4510231218599787
anomaly,1986,V,E2,0.9700146493470645
anomaly,1987,V,E2,1.1425809333420016
anomaly,1988,V,E2,1.1497367413198873
anomaly,1989,V,E2,0.7425419939594577
anomaly,1990,V,E2,1.2313892135174178
anomaly,1991,V,E2,1.4453381160240666
anomaly,1992,V,E2,1.6213308492559078
anomaly,1993,V,E2,1.4663278407770162
anomaly,1994,V,E2,1.4477612195999332
anomaly,1995,V,E2,1.0416438909776093
anomaly,1996,V,E2,1.0682235789658092
anomaly,1997,V,E2,2.0126462072196887
anomaly,1998,V,E2,2.0581626180494204
anomaly,1999,V,E2,2.0835768090977096
anomaly,2000,V,E2,2.4206540413651663
anomaly,2001,V,E2,0.8189162834382432
anomaly,2002,V,E2,1.7446679780487124
anomaly,2003,V,E2,1.0527155714237455
anomaly,2004,V,E2,1.1596972699516526
anomaly,2005,V,E2,1.3372495141032943
anomaly,2006,V,E2,0.885375425177376
anomaly,2007,V,E2,1.3173097867507892
anomaly,2008,V,E2,1.8679130774800403
anomaly,2009,V,E2,3.1065551583225313
anomaly,2010,V,E2,1.0228977722262365
anomaly,2011,V,E2,1.8128102607709673
anomaly,2012,V,E2,1.3207987849886687
anomaly,2013,V,E2,1.4488709293804185
anomaly,2014,V,E2,0.9393968734793218
anomaly,2015,V,E2,0.6712386600509714
anomaly,2016,V,E2,1.2591941316293542
anomaly,2017,V,E2,0.9842784111344486
anomaly,2018,V,E2,0.9764517763735053
anomaly,2019,V,E2,1.6469130995893848
anomaly,2020,V,E2,0.8878773097002414
anomaly,2021,V,E2,0.6842217045917818
anomaly,2022,V,E2,1.244997250883861
anomaly,2023,V,E2,0.7971224516765795
anomaly,1979,V,V45,2.206943421472792
anomaly,1980,V,V45,2.066865466802027
anomaly,1981,V,V45,2.2220850125048894
anomaly,1982,V,V45,1.441738375490878
anomaly,1983,V,V45,1.4327730520736082
anomaly,1984,V,V45,1.159643774033277
anomaly,1985,V,V45,1.7272717932193895
anomaly,1986,V,V45,1.8027130068548045
anomaly,1987,V,V45,1.5596477095621486
anomaly,1988,V,V45,1.1909851258901307
anomaly,1989,V,V45,1.5998887323189845
anomaly,1990,V,V45,1.1626944951711742
anomaly,1991,V,V45,1.1496145078364672
anomaly,1992,V,V45,0.9232332528200953
anomaly,1993,V,V45,2.152419817097704
anomaly,1994,V,V45,1.9865943174079423
anomaly,1995,V,V45,1.0044812224876298
anomaly,1996,V,V45,3.213831932174562
anomaly,1997,V,V45,1.1712115383953754
anomaly,1998,V,V45,1.6100080144198023
anomaly,1999,V,V45,0.7854573084295456
anomaly,2000,V,V45,2.0616248266984445
anomaly,2001,V,V45,1.2363036611330034
anomaly,2002,V,V45,1.2211351215986892
anomaly,2003,V,V45,1.0353958495914366
anomaly,2004,V,V45,2.461776146921673
anomaly,2005,V,V45,2.34124113303204
anomaly,2006,V,V45,3.0395810997549124
anomaly,2007,V,V45,1.3811555057088862
anomaly,2008,V,V45,3.266759555757268
anomaly,2009,V,V45,0.9969744166195801
anomaly,2010,V,V45,1.6065990630174474
anomaly,2011,V,V45,1.0180044786206162
anomaly,2012,V,V45,1.1203611938911584
anomaly,2013,V,V45,1.3964740571380765
anomaly,2014,V,V45,1.596482293117645
anomaly,2015,V,V45,2.194068513287481
anomaly,2016,V,V45,1.282136228870653
anomaly,2017,V,V45,1.3631703247370843
anomaly,2018,V,V45,2.4604321941007843
anomaly,2019,V,V45,1.8301512982107324
anomaly,2020,V,V45,1.5352458952319181
anomaly,2021,V,V45,2.739448478517766
anomaly,2022,V,V45,2.0116359039921288
anomaly,2023,V,V45,1.1022315832600107
anomaly,1979,Je,E1,8.278152392693062
anomaly,1980,Je,E1,4.237425968613914
anomaly,1981,Je,E1,6.761664325852773
anomaly,1982,Je,E1,11.233955942348139
anomaly,1983,Je,E1,11.382263998478495
anomaly,1984,Je,E1,1.6353822086810097
anomaly,1985,Je,E1,4.633244644504348
anomaly,1986,Je,E1,5.906255855142295
anomaly,1987,Je,E1,5.430236993399831
anomaly,1988,Je,E1,4.386124140458058
anomaly,1989,Je,E1,3.5429328336620127
anomaly,1990,Je,E1,7.2108554729776415
anomaly,1991,Je,E1,6.721889097019747
anomaly,1992,Je,E1,8.605961964564317
anomaly,1993,Je,E1,11.896921455389688
anomaly,1994,Je,E1,6.075950840299858
anomaly,1995,Je,E1,13.936182439199738
anomaly,1996,Je,E1,6.046838465707157
anomaly,1997,Je,E1,10.213467205811543
anomaly,1998,Je,E1,2.3950742872942774
anomaly,1999,Je,E1,4.86982225599904
anomaly,2000,Je,E1,10.418058282395727
anomaly,2001,Je,E1,2.5018612967871383
anomaly,2002,Je,E1,5.276766294697747
anomaly,2003,Je,E1,16.43912024239206
anomaly,2004,Je,E1,6.159918911581081
anomaly,2005,Je,E1,11.139460028033566
anomaly,2006,Je,E1,5.289766486429482
anomaly,2007,Je,E1,10.262490453657636
anomaly,2008,Je,E1,-4.5830045995139805
anomaly,2009,Je,E1,4.35911975692726
anomaly,2010,Je,E1,13.738458880810642
anomaly,2011,Je,E1,8.257719610324564
anomaly,2012,Je,E1,2.021134612540912
anomaly,2013,Je,E1,7.474904224009574
anomaly,2014,Je,E1,4.415913512690418
anomaly,2015,Je,E1,1.0734388631944531
anomaly,2016,Je,E1,13.47568318871092
anomaly,2017,Je,E1,9.825468575209669
anomaly,2018,Je,E1,6.468832181669211
anomaly,2019,Je,E1,1.904705064242012
anomaly,2020,Je,E1,8.84787045375243
anomaly,2021,Je,E1,5.612857055442819
anomaly,2022,Je,E1,10.41902196854315
anomaly,2023,Je,E1,9.623962773246483
anomaly,1979,Je,E2,9.907501292805414
anomaly,1980,Je,E2,9.629380850911073
anomaly,1981,Je,E2,0.3741093144376888
anomaly,1982,Je,E2,2.547522168315942
anomaly,1983,Je,E2,2.5266930305829165
anomaly,1984,Je,E2,5.778424961570482
anomaly,1985,Je,E2,7.354021119981152
anomaly,1986,Je,E2,3.8583182220234553
anomaly,1987,Je,E2,1.3487634697143358
anomaly,1988,Je,E2,8.591724961785436
anomaly,1989,Je,E2,8.365639845573424
anomaly,1990,Je,E2,1.2999418844999338
anomaly,1991,Je,E2,9.859691757306546
anomaly,1992,Je,E2,-0.171481188143202
anomaly,1993,Je,E2,14.520009052212323
anomaly,1994,Je,E2,7.587643359361356
anomaly,1995,Je,E2,1.519307270263861
anomaly,1996,Je,E2,6.401394739813047
anomaly,1997,Je,E2,14.385048831844427
anomaly,1998,Je,E2,12.45517632175763
anomaly,1999,Je,E2,7.342543127638188
anomaly,2000,Je,E2,13.61658450489813
anomaly,2001,Je,E2,6.591626011209631
anomaly,2002,Je,E2,5.27348444326626
anomaly,2003,Je,E2,10.644661585331537
anomaly,2004,Je,E2,9.7644398627512
anomaly,2005,Je,E2,4.425570754727112
anomaly,2006,Je,E2,4.69263877649281
anomaly,2007,Je,E2,8.913482755845115
anomaly,2008,Je,E2,0.40428504306865487
anomaly,2009,Je,E2,5.428505608470909
anomaly,2010,Je,E2,7.426515231098335
anomaly,2011,Je,E2,10.6796408074294
anomaly,2012,Je,E2,5.127175696223978
anomaly,2013,Je,E2,9.466594498566929
anomaly,2014,Je,E2,8.532302518916957
anomaly,2015,Je,E2,3.9030093356253843
anomaly,2016,Je,E2,2.5552974408204894
anomaly,2017,Je,E2,2.7951374972828678
anomaly,2018,Je,E2,2.897294976336508
anomaly,2019,Je,E2,7.995431919249792
anomaly,2020,Je,E2,4.0010266575945055
anomaly,2021,Je,E2,4.686832841074677
anomaly,2022,Je,E2,3.435749289611627
anomaly,2023,Je,E2,5.351336805430105
anomaly,1979,Je,Je46,9.804734648178298
anomaly,1980,Je,Je46,10.606338573344395
anomaly,1981,Je,Je46,4.738687839028724
anomaly,1982,Je,Je46,5.632617270832105
anomaly,1983,Je,Je46,9.561645448568866
anomaly,1984,Je,Je46,1.8589811800413623
anomaly,1985,Je,Je46,5.479650455229159
anomaly,1986,Je,Je46,4.175041303162006
anomaly,1987,Je,Je46,5.87435786041076
anomaly,1988,Je,Je46,4.8308767001518484
anomaly,1989,Je,Je46,14.297284157277268
anomaly,1990,Je,Je46,8.548116487924425
anomaly,1991,Je,Je46,6.926533930172193
