mode,source_object,source_package_type,source_col,target_object,target_col,is_self_target,n_years,pearson_r,spearman_r,permutation_p
anomaly,Je,main_cluster_source,Je_M_source_strength,M_minus_Je,M_minus_Je_strength,False,45,0.3936125542552348,0.3885375494071146,0.009900990099009901
anomaly,Je,main_cluster_source,Je_M_source_strength,M_minus_Jw,M_minus_Jw_strength,False,45,0.7369794926109535,0.736627140974967,0.009900990099009901
local_background_removed,H,pre_package,H_pre_package_strength,P,P_P45_strength,False,45,0.042969372452438655,-0.048089591567852426,0.7821782178217822
local_background_removed,H,pre_package,H_pre_package_strength,V,V_V45_strength,False,45,-0.006749027543447757,-0.09710144927536231,0.9702970297029703
local_background_removed,H,pre_package,H_pre_package_strength,Je,Je_Je46_strength,False,45,-0.13998411583465614,-0.16627140974967058,0.31683168316831684
local_background_removed,H,pre_package,H_pre_package_strength,Jw,Jw_Jw41_strength,False,45,-0.024055614986932383,-0.05546772068511198,0.8118811881188119
local_background_removed,H,pre_package,H_pre_package_strength,M,M_combined_strength,False,45,-0.05148262814244291,-0.15678524374176547,0.7425742574257426
local_background_removed,H,pre_package,H_pre_package_strength,joint_proxy,joint45_strength_proxy,False,45,-0.05148262814244291,-0.15678524374176547,0.7524752475247525
local_background_removed,H,pre_package,H_pre_package_strength,M_minus_P,M_minus_P_strength,False,45,-0.08849350911663749,-0.1715415019762846,0.5544554455445545
local_background_removed,H,pre_package,H_pre_package_strength,M_minus_V,M_minus_V_strength,False,45,-0.06641547656381803,-0.141897233201581,0.6435643564356436
local_background_removed,H,pre_package,H_pre_package_strength,M_minus_Je,M_minus_Je_strength,False,45,0.0062136965621828015,-0.12305665349143607,0.9603960396039604
local_background_removed,H,pre_package,H_pre_package_strength,M_minus_Jw,M_minus_Jw_strength,False,45,-0.04445658276847645,-0.17048748353096177,0.7623762376237624
local_background_removed,P,pre_package,P_pre_package_strength,P,P_P45_strength,True,45,0.2266057784758556,0.23820816864295125,0.12871287128712872
