day,detector_score,score_valid,object
80,5.912215056022428,True,Je
81,5.948923321784777,True,Je
82,5.873653416749018,True,Je
83,5.740769171723617,True,Je
84,5.722763127669891,True,Je
85,5.8657182241578125,True,Je
86,6.121295556100941,True,Je
87,6.400552880655631,True,Je
88,6.620162900207162,True,Je
89,6.756436894874135,True,Je
90,6.859351551736157,True,Je
91,7.0285914641388905,True,Je
92,7.329933754992022,True,Je
93,,False,Je
94,,False,Je
95,,False,Je
96,,False,Je
97,,False,Je
98,,False,Je
99,,False,Je
100,,False,Je
101,,False,Je
102,,False,Je
49,,False,Jw
50,,False,Jw
51,,False,Jw
52,,False,Jw
53,,False,Jw
54,,False,Jw
55,,False,Jw
56,,False,Jw
57,,False,Jw
58,,False,Jw
59,2.188496054725308,True,Jw
60,2.30056387706099,True,Jw
61,2.4744150451002933,True,Jw
62,2.7124716336107073,True,Jw
63,3.038980579715127,True,Jw
64,3.46645361275921,True,Jw
65,3.9221962254721636,True,Jw
66,4.352294645105784,True,Jw
67,4.783725931859982,True,Jw
68,5.200916470121817,True,Jw
69,5.596306993429233,True,Jw
70,5.959448895154668,True,Jw
71,6.34468050040945,True,Jw
72,6.798809547225458,True,Jw
73,7.338026745867444,True,Jw
74,8.037702738960377,True,Jw
75,8.924300762801398,True,Jw
76,9.936940735545601,True,Jw
77,10.940946048577981,True,Jw
78,11.840246837069596,True,Jw
79,12.722878630264963,True,Jw
80,13.58982804331006,True,Jw
81,14.296626416488884,True,Jw
82,14.718508656230235,True,Jw
83,14.807843176914874,True,Jw
84,14.392605036173217,True,Jw
85,13.493258384294823,True,Jw
86,12.3339322509433,True,Jw
87,11.223258491394798,True,Jw
88,10.204885025313681,True,Jw
89,9.252500221421835,True,Jw
90,8.40974140732496,True,Jw
91,7.8726464837195875,True,Jw
92,7.683464225110906,True,Jw
93,,False,Jw
94,,False,Jw
95,,False,Jw
96,,False,Jw
97,,False,Jw
98,,False,Jw
99,,False,Jw
100,,False,Jw
101,,False,Jw
102,,False,Jw
88,,False,P
89,,False,P
90,,False,P
91,,False,P
92,,False,P
93,,False,P
94,,False,P
95,,False,P
96,,False,P
97,,False,P
98,29.902456617930497,True,P
99,27.51516719871219,True,P
100,24.64531199323807,True,P
101,21.611810490018666,True,P
102,18.50314315134385,True,P
103,15.772442171278987,True,P
104,13.740892948490607,True,P
105,12.945740777614425,True,P
106,13.455465940622437,True,P
107,14.710068210967837,True,P
108,16.69232731530477,True,P
109,19.532468537395868,True,P
110,22.61836252400773,True,P
111,25.13601319028118,True,P
112,26.589265892094993,True,P
113,26.616812351441734,True,P
114,25.430997477767583,True,P
115,23.211290500824617,True,P
116,20.29151449874449,True,P
117,16.49916859590669,True,P
118,12.54963409782051,True,P
119,9.193929744315138,True,P
120,6.415011750851125,True,P
121,4.440561909888679,True,P
122,3.673402390120544,True,P
123,4.114930349490551,True,P
124,5.063082738573638,True,P
125,5.803192241952834,True,P
126,5.946778876241709,True,P
127,5.6047712228159,True,P
128,4.976338133502907,True,P
129,4.418438035861691,True,P
130,4.01229578232779,True,P
131,3.472644540900264,True,P
132,3.123744040480706,True,P
133,3.1785202058177564,True,P
134,3.3285695403759714,True,P
135,3.597728155159995,True,P
136,4.132054575827651,True,P
137,4.864621967165027,True,P
138,5.071550450487186,True,P
139,4.697837904270265,True,P
140,,False,P
141,,False,P
142,,False,P
143,,False,P
144,,False,P
145,,False,P
146,,False,P
147,,False,P
148,,False,P
149,,False,P
88,,False,V
89,,False,V
90,,False,V
91,,False,V
92,,False,V
93,,False,V
94,,False,V
95,,False,V
96,,False,V
97,,False,V
98,8.620580567302197,True,V
99,7.415420181661165,True,V
100,6.115400808223223,True,V
101,4.910423923142234,True,V
102,3.9083507680690843,True,V
103,3.2931147581878255,True,V
104,3.310156757879513,True,V
105,4.083709405694646,True,V
106,5.524400956982682,True,V
107,7.3658308048829895,True,V
108,9.380851088340549,True,V
109,11.699134803640984,True,V
