window_id,segment_id,object_A,object_B,baseline_config,branch,raw_start_idx,raw_end_idx,start_day,end_day,duration,raw_sign_type,D_mean,E_abs_mean,signed_integral,abs_integral,peak_abs_delta,classified_type,directional_bias,P_near_null,P_separation_gt_null,support_basis,null_n,null_E_median,null_E_q025,null_E_q975
W045,SEG00173,P,Je,C1_buffered_stage,dist,56,74,56,74,19,negative,-0.022667081123566617,0.022667081123566617,-0.4306745413477657,0.4306745413477657,0.06448510791024231,uncertain_segment,negative,0.3715,0.6285,same_object_reproducibility_null,2000,0.01683040114912436,0.0006029002929697234,0.0596578958234661
W045,SEG00174,P,Je,C1_buffered_stage,pattern,4,18,4,18,15,positive,0.21944815612960927,0.21944815612960927,3.2917223419441393,3.2917223419441393,0.28271958365716027,A_dominant_segment,positive,0.044,0.956,same_object_reproducibility_null,2000,0.060850608119893346,0.0029140568790170353,0.24962941027251623
W045,SEG00175,P,Je,C1_buffered_stage,pattern,19,45,19,45,27,negative,-0.36095546828680325,0.36095546828680325,-9.745797643743687,9.745797643743687,0.8960276936225964,B_dominant_segment,negative,0.0055,0.9945,same_object_reproducibility_null,2000,0.08630018747138347,0.004435389166627319,0.29108048697211014
W045,SEG00176,P,Je,C1_buffered_stage,pattern,46,61,46,61,16,positive,0.20853593344604698,0.20853593344604698,3.3365749351367517,3.3365749351367517,0.4039097081009354,uncertain_segment,positive,0.146,0.854,same_object_reproducibility_null,2000,0.08284907136461359,0.0040566926217720164,0.39590199961756894
W045,SEG00177,P,Je,C1_buffered_stage,pattern,62,74,62,74,13,negative,-0.20762313411870031,0.20762313411870031,-2.699100743543104,2.699100743543104,0.4632148408093979,uncertain_segment,negative,0.1135,0.8865,same_object_reproducibility_null,2000,0.08390688278839346,0.004019441852216267,0.316646510973996
W045,SEG00178,P,Je,C2_immediate_pre,dist,4,28,4,28,25,negative,-0.10337217788462295,0.10337217788462295,-2.584304447115574,2.584304447115574,0.12942950399102376,B_dominant_segment,negative,0.0015,0.9985,same_object_reproducibility_null,2000,0.019798361628642094,0.0008791741153664432,0.06623812446575403
W045,SEG00179,P,Je,C2_immediate_pre,dist,29,29,29,29,1,positive,0.001004274783894421,0.001004274783894421,0.001004274783894421,0.001004274783894421,0.001004274783894421,short_uncertain,positive,,,too_short_for_primary_segment,2000,0.018372873671309263,0.0009446493062924234,0.05891351239874403
W045,SEG00180,P,Je,C2_immediate_pre,dist,30,41,30,41,12,negative,-0.08961515781755443,0.08961515781755443,-1.0753818938106532,1.0753818938106532,0.1407248593277469,uncertain_segment,negative,0.1095,0.8905,same_object_reproducibility_null,2000,0.038386180411629556,0.0017151993703110114,0.12878932207638627
W045,SEG00181,P,Je,C2_immediate_pre,dist,42,58,42,58,17,positive,0.13193999294854,0.13193999294854,2.24297988012518,2.24297988012518,0.24460463321008008,A_dominant_segment,positive,0.023,0.977,same_object_reproducibility_null,2000,0.03510338693900684,0.0016232727755536786,0.12773857423707785
W045,SEG00182,P,Je,C2_immediate_pre,dist,59,65,59,65,7,negative,-0.030996636886031808,0.030996636886031808,-0.21697645820222267,0.21697645820222267,0.0611778252230647,uncertain_segment,negative,0.336,0.664,same_object_reproducibility_null,2000,0.021931775950044766,0.0009542226487160554,0.08262676223932844
W045,SEG00183,P,Je,C2_immediate_pre,dist,66,68,66,68,3,positive,0.007743993973834555,0.007743993973834555,0.023231981921503664,0.023231981921503664,0.014337387575407257,uncertain_segment,positive,0.819,0.181,same_object_reproducibility_null,2000,0.025716825555281465,0.0009363701096754884,0.08556618527510704
W045,SEG00184,P,Je,C2_immediate_pre,dist,69,70,69,70,2,negative,-0.003331956739513975,0.003331956739513975,-0.00666391347902795,0.00666391347902795,0.005689730752082345,short_uncertain,negative,,,too_short_for_primary_segment,2000,0.027075188368949926,0.0009143589883113007,0.09304174802237124
W045,SEG00185,P,Je,C2_immediate_pre,dist,71,74,71,74,4,positive,0.016966058727343275,0.016966058727343275,0.0678642349093731,0.0678642349093731,0.026412083035122658,uncertain_segment,positive,0.657,0.343,same_object_reproducibility_null,2000,0.026626917033191436,0.0013091784026880381,0.09367475814440714
W045,SEG00186,P,Je,C2_immediate_pre,pattern,4,30,4,30,27,positive,0.5117727828832294,0.5117727828832294,13.817865137847193,13.817865137847193,0.8271717004914385,uncertain_segment,positive,0.1515,0.8485,same_object_reproducibility_null,2000,0.17549840560218305,0.008187566860070676,1.3036820706745678
W045,SEG00187,P,Je,C2_immediate_pre,pattern,31,44,31,44,14,negative,-0.6517452617308438,0.6517452617308438,-9.124433664231812,9.124433664231812,1.0654120734062373,B_dominant_segment,negative,0.0495,0.9505,same_object_reproducibility_null,2000,0.1800267004825848,0.00850616888796929,0.7679242190179879
W045,SEG00188,P,Je,C2_immediate_pre,pattern,45,61,45,61,17,positive,0.27997121585206464,0.27997121585206464,4.759510669485099,4.759510669485099,0.5529110452718811,uncertain_segment,positive,0.1675,0.8325,same_object_reproducibility_null,2000,0.12643429332215822,0.005492383267921392,0.4937439194635071
W045,SEG00189,P,Je,C2_immediate_pre,pattern,62,74,62,74,13,negative,-0.30433967187463357,0.30433967187463357,-3.9564157343702364,3.9564157343702364,0.6547986245607981,uncertain_segment,negative,0.1255,0.8745,same_object_reproducibility_null,2000,0.12815898786456786,0.004748880508934383,0.5232760607196046
W045,SEG00190,P,Jw,C0_full_stage,dist,4,15,4,15,12,negative,-0.0496067670747306,0.0496067670747306,-0.5952812048967672,0.5952812048967672,0.0759048436132457,B_dominant_segment,negative,0.0085,0.9915,same_object_reproducibility_null,2000,0.013167852832905898,0.0006285391559867167,0.04157663017828664
W045,SEG00191,P,Jw,C0_full_stage,dist,16,22,16,22,7,positive,0.03042896534349007,0.03042896534349007,0.21300275740443048,0.21300275740443048,0.06735561440844838,uncertain_segment,positive,0.2185,0.7815,same_object_reproducibility_null,2000,0.016120263361268823,0.0005886520481542914,0.05659443505240828
W045,SEG00192,P,Jw,C0_full_stage,dist,23,38,23,38,16,negative,-0.053072184341162426,0.053072184341162426,-0.8491549494585988,0.8491549494585988,0.08711200002964337,B_dominant_segment_tendency,negative,0.0735,0.9265,same_object_reproducibility_null,2000,0.020337166595078334,0.0009273716151446727,0.06523705605218395
W045,SEG00193,P,Jw,C0_full_stage,dist,39,55,39,55,17,positive,0.12544125859509014,0.12544125859509014,2.1325013961165324,2.1325013961165324,0.22117107180830764,A_dominant_segment,positive,0.016,0.984,same_object_reproducibility_null,2000,0.02781478133304112,0.001295052792246697,0.10917070206797441
W045,SEG00194,P,Jw,C0_full_stage,dist,56,65,56,65,10,negative,-0.04915397014853838,0.04915397014853838,-0.49153970148538384,0.49153970148538384,0.11281587265959214,uncertain_segment,negative,0.1265,0.8735,same_object_reproducibility_null,2000,0.018908205944050634,0.0010872162597771967,0.0806468131022
W045,SEG00195,P,Jw,C0_full_stage,dist,66,67,66,67,2,positive,0.002980127057755355,0.002980127057755355,0.00596025411551071,0.00596025411551071,0.0032639299441989955,short_uncertain,positive,,,too_short_for_primary_segment,2000,0.018027509322636193,0.0007019743714886964,0.07443053021687962
W045,SEG00196,P,Jw,C0_full_stage,dist,68,70,68,70,3,negative,-0.01346684935315571,0.01346684935315571,-0.040400548059467134,0.040400548059467134,0.01900874246012829,uncertain_segment,negative,0.5945,0.4055,same_object_reproducibility_null,2000,0.01704417885276901,0.0007437519191768198,0.07252017538857665
W045,SEG00197,P,Jw,C0_full_stage,dist,71,74,71,74,4,positive,0.014103352548728854,0.014103352548728854,0.056413410194915414,0.056413410194915414,0.023213423855914628,uncertain_segment,positive,0.6055,0.3945,same_object_reproducibility_null,2000,0.0184090324061454,0.0006008473490206271,0.07388219114991997
