window,source_family,target_family,family_edge,n_candidate_lagged_tests,n_graph_selected,n_pcmci_plus_supported,min_q,max_abs_val
T4,H,P,H->P,140,0,0,0.6147525187828783,0.13056220218390294
T4,H,V,H->V,60,0,0,0.6147525187828783,0.12931434356552868
T4,Je,H,Je->H,60,0,0,0.6147525187828783,0.12731836598956642
T4,Je,Jw,Je->Jw,45,0,0,0.6147525187828783,0.12691529519199077
T4,Je,P,Je->P,105,0,0,0.6147525187828783,0.13077517249140352
T4,Je,V,Je->V,45,0,0,0.6147525187828783,0.12200611287534363
T4,Jw,H,Jw->H,60,0,0,0.6147525187828783,0.13021454432632468
T4,Jw,P,Jw->P,105,1,0,0.6147525187828783,0.2118705899664492
T4,Jw,V,Jw->V,45,0,0,0.6147525187828783,0.1282150301018071
T4,P,H,P->H,140,0,0,0.6147525187828783,0.13073895417964176
T4,P,Je,P->Je,105,0,0,0.6147525187828783,0.13056195704198179
T4,P,Jw,P->Jw,105,0,0,0.6147525187828783,0.13044600513557902
T4,P,V,P->V,105,0,0,0.6147525187828783,0.127929469417557
T4,V,H,V->H,60,0,0,0.6147525187828783,0.1308770328993793
T4,V,Je,V->Je,45,0,0,0.6147525187828783,0.12494864717726982
T4,V,Jw,V->Jw,45,0,0,0.6147525187828783,0.12961377415709868
T4,V,P,V->P,105,0,0,0.6147525187828783,0.13206106494345157
