window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W081,P,Jw,3.0,1.0,3.0,6.0,-6.0,-6.0,-14.0,1.5249999999999773,0.116,0.266,0.606,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,H,3.0,1.0,3.0,6.0,2.0,-1.0,-8.0,8.0,0.432,0.822,0.918,synchrony_tendency,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Je,3.0,1.0,3.0,6.0,1.0,-1.0,-12.0,8.550000000000011,0.2865731462925852,0.5771543086172345,0.8617234468937875,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Jw,3.0,1.0,3.0,6.0,-1.0,-2.0,-13.0,7.524999999999977,0.256,0.5,0.726,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Je,3.0,1.0,3.0,6.0,-1.0,-1.0,-12.0,10.550000000000011,0.39478957915831664,0.6933867735470942,0.8496993987975952,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Jw,3.0,1.0,3.0,6.0,-3.0,-2.0,-11.0,8.0,0.232,0.482,0.742,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,Je,Jw,3.0,1.0,3.0,6.0,-2.0,-2.0,-12.0,9.0,0.2965931863727455,0.5591182364729459,0.8476953907815631,synchrony_indeterminate,normal,W081_Je_earlier_minus_Jw_earlier,target_mode_mid,15,1981;1983;1985;1991;1992;1993;1996;1999;2000;2002;2005;2008;2009;2018;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,V,2.0,1.0,2.0,4.0,-1.0,-2.0,-5.0,1.5249999999999773,0.41,0.768,0.942,synchrony_indeterminate,normal,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,H,2.0,1.0,2.0,4.0,-6.0,-5.0,-11.0,2.5249999999999773,0.068,0.174,0.418,synchrony_indeterminate,normal,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Je,2.0,1.0,2.0,4.0,1.0,0.0,-9.524999999999999,5.0,0.414,0.666,0.908,synchrony_indeterminate,normal,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
