window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision,target_name,phase_group,phase_group_size,years_in_phase_group,group_role,targeted_best_direction,targeted_best_prob,targeted_order_level
W081,P,Jw,85.0,85.0,0.0,0.0,-7.524999999999999,3.5249999999999773,0.258,0.462,0.28,peak_order_unresolved,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,H,84.0,79.0,-5.0,-3.0,-10.0,5.0,0.076,0.856,0.068,B_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Je,84.0,86.0,2.0,2.0,-7.0,7.0,0.672,0.236,0.092,A_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Jw,84.0,85.0,1.0,1.0,-6.0,6.0,0.668,0.15,0.182,A_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Je,79.0,86.0,7.0,5.0,-5.0,12.0,0.866,0.096,0.038,A_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Jw,79.0,85.0,6.0,5.0,-4.0,11.0,0.858,0.09,0.052,A_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,Je,Jw,86.0,85.0,-1.0,-1.0,-8.524999999999999,8.0,0.356,0.506,0.138,B_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_high,15,1980;1984;1988;1991;1994;1997;1998;2000;2001;2004;2005;2010;2011;2012;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,V,76.0,74.0,-2.0,-2.0,-13.0,7.524999999999977,0.202,0.708,0.09,B_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_low,15,1981;1982;1983;1985;1987;1989;1992;1993;1995;1999;2009;2014;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,H,76.0,73.0,-3.0,-2.0,-11.0,9.524999999999977,0.266,0.638,0.096,B_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_low,15,1981;1982;1983;1985;1987;1989;1992;1993;1995;1999;2009;2014;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Je,76.0,79.0,3.0,-1.0,-13.0,10.0,0.42971887550200805,0.5020080321285141,0.06827309236947791,B_peak_earlier_tendency,W081_Jw_late_minus_early_peak_influence,target_mode_low,15,1981;1982;1983;1985;1987;1989;1992;1993;1995;1999;2009;2014;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
